 # x =   1.0000E-03
 #        q2       xbbar      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6750E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3992E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.3194E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.4888E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.9748E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.8630E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1262E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4311E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8186E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3109E+01 -1.1055E-02  1.6173E-03  1.1881E-03  1.2510E-03
  2.9365E+01  3.2853E-02  2.9753E-03  2.6112E-03  2.5980E-03
  3.7315E+01  7.1467E-02  4.2382E-03  4.0181E-03  3.8751E-03
  4.7417E+01  1.1050E-01  5.4973E-03  5.4305E-03  5.1527E-03
  6.0254E+01  1.4929E-01  6.7083E-03  6.8043E-03  6.3903E-03
  7.6566E+01  1.8759E-01  7.8702E-03  8.1265E-03  7.5805E-03
  9.7294E+01  2.2540E-01  8.9801E-03  9.3954E-03  8.7215E-03
  1.2363E+02  2.6275E-01  1.0044E-02  1.0607E-02  9.8149E-03
  1.5710E+02  2.9964E-01  1.1058E-02  1.1774E-02  1.0864E-02
  1.9964E+02  3.3609E-01  1.2013E-02  1.2919E-02  1.1874E-02
  2.5368E+02  3.7209E-01  1.2926E-02  1.4023E-02  1.2846E-02
  3.2236E+02  4.0766E-01  1.3805E-02  1.5071E-02  1.3775E-02
  4.0963E+02  4.4280E-01  1.4650E-02  1.6082E-02  1.4672E-02
  5.2053E+02  4.7752E-01  1.5460E-02  1.7064E-02  1.5538E-02
  6.6145E+02  5.1181E-01  1.6238E-02  1.8011E-02  1.6372E-02
  8.4051E+02  5.4567E-01  1.6986E-02  1.8920E-02  1.7173E-02
  1.0681E+03  5.7914E-01  1.7705E-02  1.9800E-02  1.7947E-02
  1.3572E+03  6.1222E-01  1.8392E-02  2.0658E-02  1.8696E-02
  1.7246E+03  6.4490E-01  1.9055E-02  2.1487E-02  1.9419E-02
  2.1915E+03  6.7719E-01  1.9701E-02  2.2279E-02  2.0117E-02
  2.7848E+03  7.0908E-01  2.0326E-02  2.3040E-02  2.0789E-02
  3.5388E+03  7.4061E-01  2.0922E-02  2.3787E-02  2.1440E-02
  4.4968E+03  7.7176E-01  2.1487E-02  2.4519E-02  2.2069E-02
  5.7141E+03  8.0255E-01  2.2033E-02  2.5227E-02  2.2678E-02
  7.2611E+03  8.3298E-01  2.2566E-02  2.5905E-02  2.3268E-02
  9.2268E+03  8.6304E-01  2.3082E-02  2.6561E-02  2.3838E-02
  1.1725E+04  8.9276E-01  2.3584E-02  2.7197E-02  2.4391E-02
  1.4899E+04  9.2212E-01  2.4072E-02  2.7813E-02  2.4927E-02
  1.8932E+04  9.5116E-01  2.4513E-02  2.8438E-02  2.5445E-02
  2.4058E+04  9.7990E-01  2.4875E-02  2.9104E-02  2.5946E-02
  3.0571E+04  1.0083E+00  2.5237E-02  2.9732E-02  2.6429E-02
  3.8847E+04  1.0363E+00  2.5680E-02  3.0230E-02  2.6888E-02
  4.9364E+04  1.0640E+00  2.6162E-02  3.0655E-02  2.7329E-02
  6.2728E+04  1.0914E+00  2.6622E-02  3.1107E-02  2.7772E-02
  7.9710E+04  1.1185E+00  2.7072E-02  3.1571E-02  2.8218E-02
  1.0129E+05  1.1453E+00  2.7472E-02  3.2067E-02  2.8653E-02
  1.2871E+05  1.1718E+00  2.7769E-02  3.2649E-02  2.9074E-02
  1.6355E+05  1.1981E+00  2.8049E-02  3.3229E-02  2.9479E-02
  2.0783E+05  1.2240E+00  2.8425E-02  3.3656E-02  2.9861E-02
  2.6410E+05  1.2496E+00  2.8874E-02  3.3954E-02  3.0220E-02
  3.3559E+05  1.2749E+00  2.9243E-02  3.4297E-02  3.0564E-02
  4.2645E+05  1.3000E+00  2.9466E-02  3.4742E-02  3.0889E-02
  5.4190E+05  1.3248E+00  2.9674E-02  3.5191E-02  3.1208E-02
  6.8860E+05  1.3493E+00  2.9981E-02  3.5571E-02  3.1533E-02
  8.7502E+05  1.3736E+00  3.0326E-02  3.5922E-02  3.1860E-02
  1.1119E+06  1.3976E+00  3.0623E-02  3.6316E-02  3.2189E-02
  1.4129E+06  1.4213E+00  3.0868E-02  3.6761E-02  3.2524E-02
  1.7954E+06  1.4448E+00  3.1113E-02  3.7168E-02  3.2838E-02
  2.2815E+06  1.4681E+00  3.1394E-02  3.7464E-02  3.3110E-02
  2.8992E+06  1.4911E+00  3.1667E-02  3.7723E-02  3.3359E-02
  3.6840E+06  1.5138E+00  3.1854E-02  3.8057E-02  3.3606E-02
  4.6814E+06  1.5364E+00  3.1965E-02  3.8449E-02  3.3846E-02
  5.9487E+06  1.5587E+00  3.2138E-02  3.8800E-02  3.4097E-02
  7.5592E+06  1.5807E+00  3.2418E-02  3.9085E-02  3.4364E-02
  9.6056E+06  1.6025E+00  3.2712E-02  3.9348E-02  3.4629E-02
  1.2206E+07  1.6241E+00  3.2963E-02  3.9610E-02  3.4873E-02
  1.5511E+07  1.6455E+00  3.3193E-02  3.9869E-02  3.5104E-02
  1.9710E+07  1.6667E+00  3.3383E-02  4.0157E-02  3.5332E-02
  2.5046E+07  1.6877E+00  3.3522E-02  4.0494E-02  3.5560E-02
  3.1826E+07  1.7084E+00  3.3672E-02  4.0794E-02  3.5773E-02
  4.0442E+07  1.7289E+00  3.3880E-02  4.0991E-02  3.5961E-02
  5.1390E+07  1.7493E+00  3.4102E-02  4.1150E-02  3.6136E-02
  6.5303E+07  1.7694E+00  3.4283E-02  4.1355E-02  3.6317E-02
  8.2982E+07  1.7893E+00  3.4435E-02  4.1587E-02  3.6500E-02
  1.0545E+08  1.8090E+00  3.4601E-02  4.1816E-02  3.6687E-02
  1.3399E+08  1.8286E+00  3.4801E-02  4.2044E-02  3.6889E-02
  1.7027E+08  1.8479E+00  3.4993E-02  4.2260E-02  3.7082E-02
  2.1637E+08  1.8671E+00  3.5140E-02  4.2442E-02  3.7232E-02
  2.7494E+08  1.8861E+00  3.5257E-02  4.2603E-02  3.7358E-02
  3.4937E+08  1.9049E+00  3.5361E-02  4.2805E-02  3.7501E-02
  4.4396E+08  1.9235E+00  3.5444E-02  4.3064E-02  3.7669E-02
  5.6414E+08  1.9420E+00  3.5547E-02  4.3296E-02  3.7832E-02
  7.1687E+08  1.9602E+00  3.5691E-02  4.3464E-02  3.7975E-02
  9.1094E+08  1.9783E+00  3.5865E-02  4.3587E-02  3.8107E-02
  1.1576E+09  1.9965E+00  3.6041E-02  4.3707E-02  3.8237E-02
  1.4709E+09  2.0151E+00  3.6207E-02  4.3844E-02  3.8373E-02
  1.8692E+09  2.0338E+00  3.6373E-02  4.3981E-02  3.8508E-02
  2.3752E+09  2.0527E+00  3.6540E-02  4.4118E-02  3.8642E-02
  3.0182E+09  2.0717E+00  3.6707E-02  4.4254E-02  3.8777E-02
  3.8353E+09  2.0909E+00  3.6875E-02  4.4390E-02  3.8912E-02
  4.8736E+09  2.1103E+00  3.7044E-02  4.4526E-02  3.9046E-02
  6.1930E+09  2.1299E+00  3.7213E-02  4.4662E-02  3.9181E-02
  7.8695E+09  2.1497E+00  3.7383E-02  4.4797E-02  3.9315E-02
  1.0000E+10  2.1697E+00  3.7554E-02  4.4933E-02  3.9449E-02
