 # q =   1.0000E+01
 #         x       xbbar      error+      error-       error
  1.0000E-07  7.7250E-01  2.8938E+00  3.1915E+00  2.7437E+00
  1.1767E-07  7.7843E-01  2.7556E+00  3.0726E+00  2.6315E+00
  1.3846E-07  7.8440E-01  2.6208E+00  2.9532E+00  2.5202E+00
  1.6293E-07  7.9042E-01  2.4892E+00  2.8334E+00  2.4098E+00
  1.9171E-07  7.9649E-01  2.3607E+00  2.7131E+00  2.3003E+00
  2.2559E-07  8.0260E-01  2.2353E+00  2.5921E+00  2.1914E+00
  2.6545E-07  8.0876E-01  2.1128E+00  2.4706E+00  2.0832E+00
  3.1235E-07  8.1497E-01  1.9931E+00  2.3484E+00  1.9755E+00
  3.6754E-07  8.2122E-01  1.8762E+00  2.2254E+00  1.8684E+00
  4.3248E-07  8.2752E-01  1.7619E+00  2.1016E+00  1.7616E+00
  5.0890E-07  8.3388E-01  1.6502E+00  1.9768E+00  1.6552E+00
  5.9882E-07  8.4027E-01  1.5409E+00  1.8511E+00  1.5491E+00
  7.0462E-07  8.4672E-01  1.4341E+00  1.7242E+00  1.4431E+00
  8.2912E-07  8.5322E-01  1.3295E+00  1.5962E+00  1.3371E+00
  9.7562E-07  8.5977E-01  1.2272E+00  1.4669E+00  1.2312E+00
  1.1480E-06  8.6978E-01  1.1217E+00  1.3208E+00  1.1146E+00
  1.3509E-06  8.7828E-01  1.0208E+00  1.1803E+00  1.0026E+00
  1.5895E-06  8.8446E-01  9.2556E-01  1.0490E+00  8.9763E-01
  1.8704E-06  8.8834E-01  8.3610E-01  9.2709E-01  7.9967E-01
  2.2009E-06  8.9008E-01  7.5209E-01  8.1384E-01  7.0831E-01
  2.5898E-06  8.9011E-01  6.7280E-01  7.0793E-01  6.2256E-01
  3.0474E-06  8.8768E-01  5.9951E-01  6.1169E-01  5.4420E-01
  3.5858E-06  8.8196E-01  5.3372E-01  5.2784E-01  4.7522E-01
  4.2194E-06  8.7205E-01  4.7695E-01  4.5921E-01  4.1769E-01
  4.9649E-06  8.5752E-01  4.2989E-01  4.0687E-01  3.7242E-01
  5.8422E-06  8.4113E-01  3.8772E-01  3.6193E-01  3.3290E-01
  6.8744E-06  8.2488E-01  3.4700E-01  3.1801E-01  2.9448E-01
  8.0891E-06  8.0792E-01  3.0917E-01  2.7780E-01  2.5912E-01
  9.5184E-06  7.9028E-01  2.7419E-01  2.4116E-01  2.2673E-01
  1.1200E-05  7.7162E-01  2.4272E-01  2.0906E-01  1.9808E-01
  1.3179E-05  7.5178E-01  2.1500E-01  1.8184E-01  1.7342E-01
  1.5508E-05  7.3112E-01  1.9033E-01  1.5845E-01  1.5195E-01
  1.8248E-05  7.1004E-01  1.6802E-01  1.3785E-01  1.3285E-01
  2.1472E-05  6.8884E-01  1.4752E-01  1.1924E-01  1.1551E-01
  2.5266E-05  6.6721E-01  1.2943E-01  1.0337E-01  1.0054E-01
  2.9731E-05  6.4521E-01  1.1359E-01  8.9963E-02  8.7717E-02
  3.4984E-05  6.2306E-01  9.9579E-02  7.8476E-02  7.6617E-02
  4.1165E-05  6.0096E-01  8.7060E-02  6.8433E-02  6.6852E-02
  4.8439E-05  5.7879E-01  7.6222E-02  5.9979E-02  5.8589E-02
  5.6998E-05  5.5666E-01  6.6781E-02  5.2781E-02  5.1541E-02
  6.7069E-05  5.3487E-01  5.8285E-02  4.6347E-02  4.5279E-02
  7.8919E-05  5.1331E-01  5.0870E-02  4.0816E-02  3.9911E-02
  9.2864E-05  4.9188E-01  4.4636E-02  3.6247E-02  3.5469E-02
  1.0927E-04  4.7079E-01  3.9203E-02  3.2289E-02  3.1635E-02
  1.2858E-04  4.5009E-01  3.4494E-02  2.8859E-02  2.8332E-02
  1.5130E-04  4.2979E-01  3.0441E-02  2.5881E-02  2.5483E-02
  1.7803E-04  4.0993E-01  2.7030E-02  2.3270E-02  2.3005E-02
  2.0949E-04  3.9056E-01  2.4096E-02  2.0972E-02  2.0838E-02
  2.4650E-04  3.7162E-01  2.1534E-02  1.9087E-02  1.8963E-02
  2.9006E-04  3.5314E-01  1.9527E-02  1.7491E-02  1.7316E-02
  3.4131E-04  3.3515E-01  1.7709E-02  1.6055E-02  1.5840E-02
  4.0162E-04  3.1770E-01  1.6054E-02  1.4758E-02  1.4508E-02
  4.7258E-04  3.0077E-01  1.4547E-02  1.3612E-02  1.3300E-02
  5.5608E-04  2.8437E-01  1.3166E-02  1.2587E-02  1.2190E-02
  6.5434E-04  2.6851E-01  1.1913E-02  1.1650E-02  1.1166E-02
  7.6995E-04  2.5318E-01  1.0768E-02  1.0780E-02  1.0218E-02
  9.0600E-04  2.3841E-01  9.7069E-03  9.9891E-03  9.3458E-03
  1.0661E-03  2.2417E-01  8.7319E-03  9.2519E-03  8.5393E-03
  1.2544E-03  2.1047E-01  7.8453E-03  8.5459E-03  7.7898E-03
  1.4761E-03  1.9731E-01  7.0402E-03  7.8688E-03  7.0931E-03
  1.7369E-03  1.8466E-01  6.3124E-03  7.2271E-03  6.4487E-03
  2.0438E-03  1.7251E-01  5.6593E-03  6.6298E-03  5.8582E-03
  2.4049E-03  1.6088E-01  5.0794E-03  6.0669E-03  5.3178E-03
  2.8299E-03  1.4977E-01  4.5683E-03  5.5327E-03  4.8203E-03
  3.3299E-03  1.3914E-01  4.1193E-03  5.0301E-03  4.3627E-03
  3.9183E-03  1.2898E-01  3.7174E-03  4.5634E-03  3.9435E-03
  4.6106E-03  1.1928E-01  3.3527E-03  4.1307E-03  3.5606E-03
  5.4253E-03  1.1004E-01  3.0174E-03  3.7303E-03  3.2084E-03
  6.3839E-03  1.0122E-01  2.7051E-03  3.3710E-03  2.8834E-03
