 # x =   1.0000E-03
 #        q2        xbot      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6750E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3992E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.3194E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.4888E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.9748E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.8630E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1262E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4311E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8186E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3109E+01 -1.1055E-02  1.6173E-03  1.1881E-03  1.2510E-03
  2.9365E+01  3.2861E-02  2.9753E-03  2.6113E-03  2.5981E-03
  3.7315E+01  7.1480E-02  4.2382E-03  4.0183E-03  3.8753E-03
  4.7417E+01  1.1052E-01  5.4974E-03  5.4307E-03  5.1530E-03
  6.0254E+01  1.4931E-01  6.7084E-03  6.8045E-03  6.3906E-03
  7.6566E+01  1.8761E-01  7.8703E-03  8.1268E-03  7.5808E-03
  9.7294E+01  2.2543E-01  8.9803E-03  9.3956E-03  8.7219E-03
  1.2363E+02  2.6278E-01  1.0045E-02  1.0607E-02  9.8153E-03
  1.5710E+02  2.9968E-01  1.1059E-02  1.1774E-02  1.0864E-02
  1.9964E+02  3.3612E-01  1.2014E-02  1.2919E-02  1.1875E-02
  2.5368E+02  3.7212E-01  1.2926E-02  1.4023E-02  1.2846E-02
  3.2236E+02  4.0770E-01  1.3805E-02  1.5071E-02  1.3776E-02
  4.0963E+02  4.4284E-01  1.4650E-02  1.6082E-02  1.4672E-02
  5.2053E+02  4.7755E-01  1.5460E-02  1.7064E-02  1.5538E-02
  6.6145E+02  5.1184E-01  1.6239E-02  1.8012E-02  1.6373E-02
  8.4051E+02  5.4571E-01  1.6986E-02  1.8920E-02  1.7173E-02
  1.0681E+03  5.7918E-01  1.7705E-02  1.9800E-02  1.7947E-02
  1.3572E+03  6.1225E-01  1.8393E-02  2.0658E-02  1.8696E-02
  1.7246E+03  6.4494E-01  1.9056E-02  2.1487E-02  1.9420E-02
  2.1915E+03  6.7722E-01  1.9702E-02  2.2279E-02  2.0117E-02
  2.7848E+03  7.0912E-01  2.0327E-02  2.3040E-02  2.0789E-02
  3.5388E+03  7.4065E-01  2.0922E-02  2.3787E-02  2.1440E-02
  4.4968E+03  7.7180E-01  2.1487E-02  2.4519E-02  2.2070E-02
  5.7141E+03  8.0259E-01  2.2033E-02  2.5227E-02  2.2679E-02
  7.2611E+03  8.3301E-01  2.2566E-02  2.5905E-02  2.3268E-02
  9.2268E+03  8.6308E-01  2.3082E-02  2.6561E-02  2.3838E-02
  1.1725E+04  8.9279E-01  2.3585E-02  2.7197E-02  2.4392E-02
  1.4899E+04  9.2216E-01  2.4072E-02  2.7813E-02  2.4928E-02
  1.8932E+04  9.5120E-01  2.4513E-02  2.8438E-02  2.5446E-02
  2.4058E+04  9.7993E-01  2.4875E-02  2.9104E-02  2.5947E-02
  3.0571E+04  1.0083E+00  2.5238E-02  2.9731E-02  2.6429E-02
  3.8847E+04  1.0364E+00  2.5680E-02  3.0230E-02  2.6888E-02
  4.9364E+04  1.0640E+00  2.6162E-02  3.0655E-02  2.7329E-02
  6.2728E+04  1.0914E+00  2.6622E-02  3.1106E-02  2.7773E-02
  7.9710E+04  1.1185E+00  2.7072E-02  3.1571E-02  2.8219E-02
  1.0129E+05  1.1453E+00  2.7472E-02  3.2067E-02  2.8653E-02
  1.2871E+05  1.1719E+00  2.7769E-02  3.2648E-02  2.9074E-02
  1.6355E+05  1.1981E+00  2.8049E-02  3.3229E-02  2.9480E-02
  2.0783E+05  1.2240E+00  2.8425E-02  3.3655E-02  2.9861E-02
  2.6410E+05  1.2496E+00  2.8874E-02  3.3954E-02  3.0221E-02
  3.3559E+05  1.2749E+00  2.9243E-02  3.4297E-02  3.0564E-02
  4.2645E+05  1.3000E+00  2.9466E-02  3.4741E-02  3.0889E-02
  5.4190E+05  1.3248E+00  2.9674E-02  3.5191E-02  3.1208E-02
  6.8860E+05  1.3493E+00  2.9982E-02  3.5570E-02  3.1534E-02
  8.7502E+05  1.3736E+00  3.0327E-02  3.5922E-02  3.1860E-02
  1.1119E+06  1.3976E+00  3.0623E-02  3.6315E-02  3.2189E-02
  1.4129E+06  1.4214E+00  3.0869E-02  3.6761E-02  3.2524E-02
  1.7954E+06  1.4449E+00  3.1113E-02  3.7168E-02  3.2838E-02
  2.2815E+06  1.4681E+00  3.1394E-02  3.7463E-02  3.3110E-02
  2.8992E+06  1.4911E+00  3.1667E-02  3.7722E-02  3.3359E-02
  3.6840E+06  1.5139E+00  3.1854E-02  3.8057E-02  3.3606E-02
  4.6814E+06  1.5364E+00  3.1965E-02  3.8448E-02  3.3846E-02
  5.9487E+06  1.5587E+00  3.2138E-02  3.8799E-02  3.4097E-02
  7.5592E+06  1.5807E+00  3.2418E-02  3.9084E-02  3.4364E-02
  9.6056E+06  1.6026E+00  3.2712E-02  3.9347E-02  3.4629E-02
  1.2206E+07  1.6242E+00  3.2963E-02  3.9610E-02  3.4873E-02
  1.5511E+07  1.6455E+00  3.3192E-02  3.9868E-02  3.5104E-02
  1.9710E+07  1.6667E+00  3.3383E-02  4.0157E-02  3.5332E-02
  2.5046E+07  1.6877E+00  3.3522E-02  4.0493E-02  3.5559E-02
  3.1826E+07  1.7084E+00  3.3672E-02  4.0793E-02  3.5773E-02
  4.0442E+07  1.7290E+00  3.3880E-02  4.0990E-02  3.5961E-02
  5.1390E+07  1.7493E+00  3.4102E-02  4.1150E-02  3.6136E-02
  6.5303E+07  1.7694E+00  3.4283E-02  4.1354E-02  3.6317E-02
  8.2982E+07  1.7893E+00  3.4435E-02  4.1586E-02  3.6500E-02
  1.0545E+08  1.8091E+00  3.4601E-02  4.1816E-02  3.6687E-02
  1.3399E+08  1.8286E+00  3.4801E-02  4.2043E-02  3.6889E-02
  1.7027E+08  1.8479E+00  3.4993E-02  4.2259E-02  3.7081E-02
  2.1637E+08  1.8671E+00  3.5140E-02  4.2441E-02  3.7232E-02
  2.7494E+08  1.8861E+00  3.5257E-02  4.2602E-02  3.7357E-02
  3.4937E+08  1.9049E+00  3.5361E-02  4.2804E-02  3.7501E-02
  4.4396E+08  1.9235E+00  3.5444E-02  4.3062E-02  3.7669E-02
  5.6414E+08  1.9420E+00  3.5547E-02  4.3295E-02  3.7831E-02
  7.1687E+08  1.9602E+00  3.5691E-02  4.3462E-02  3.7975E-02
  9.1094E+08  1.9783E+00  3.5864E-02  4.3586E-02  3.8106E-02
  1.1576E+09  1.9965E+00  3.6041E-02  4.3706E-02  3.8237E-02
  1.4709E+09  2.0151E+00  3.6206E-02  4.3843E-02  3.8372E-02
  1.8692E+09  2.0338E+00  3.6373E-02  4.3980E-02  3.8507E-02
  2.3752E+09  2.0526E+00  3.6539E-02  4.4116E-02  3.8642E-02
  3.0182E+09  2.0717E+00  3.6707E-02  4.4253E-02  3.8777E-02
  3.8353E+09  2.0909E+00  3.6875E-02  4.4389E-02  3.8911E-02
  4.8736E+09  2.1103E+00  3.7043E-02  4.4525E-02  3.9046E-02
  6.1930E+09  2.1299E+00  3.7213E-02  4.4661E-02  3.9180E-02
  7.8695E+09  2.1497E+00  3.7383E-02  4.4796E-02  3.9314E-02
  1.0000E+10  2.1697E+00  3.7553E-02  4.4931E-02  3.9448E-02
