 # q =   1.0000E+01
 #         x        xbot      error+      error-       error
  1.0000E-07  7.7250E-01  2.8938E+00  3.1915E+00  2.7437E+00
  1.1767E-07  7.7843E-01  2.7556E+00  3.0726E+00  2.6315E+00
  1.3846E-07  7.8440E-01  2.6208E+00  2.9532E+00  2.5202E+00
  1.6293E-07  7.9043E-01  2.4892E+00  2.8334E+00  2.4098E+00
  1.9171E-07  7.9649E-01  2.3607E+00  2.7131E+00  2.3003E+00
  2.2559E-07  8.0261E-01  2.2353E+00  2.5921E+00  2.1914E+00
  2.6545E-07  8.0877E-01  2.1128E+00  2.4706E+00  2.0832E+00
  3.1235E-07  8.1497E-01  1.9931E+00  2.3484E+00  1.9755E+00
  3.6754E-07  8.2123E-01  1.8762E+00  2.2254E+00  1.8684E+00
  4.3248E-07  8.2753E-01  1.7619E+00  2.1016E+00  1.7616E+00
  5.0890E-07  8.3388E-01  1.6502E+00  1.9768E+00  1.6552E+00
  5.9882E-07  8.4028E-01  1.5409E+00  1.8511E+00  1.5491E+00
  7.0462E-07  8.4673E-01  1.4341E+00  1.7242E+00  1.4431E+00
  8.2912E-07  8.5323E-01  1.3295E+00  1.5962E+00  1.3371E+00
  9.7562E-07  8.5978E-01  1.2272E+00  1.4669E+00  1.2312E+00
  1.1480E-06  8.6980E-01  1.1217E+00  1.3208E+00  1.1146E+00
  1.3509E-06  8.7829E-01  1.0208E+00  1.1803E+00  1.0026E+00
  1.5895E-06  8.8448E-01  9.2556E-01  1.0490E+00  8.9763E-01
  1.8704E-06  8.8835E-01  8.3610E-01  9.2709E-01  7.9967E-01
  2.2009E-06  8.9010E-01  7.5209E-01  8.1384E-01  7.0831E-01
  2.5898E-06  8.9013E-01  6.7280E-01  7.0793E-01  6.2256E-01
  3.0474E-06  8.8770E-01  5.9951E-01  6.1169E-01  5.4420E-01
  3.5858E-06  8.8198E-01  5.3372E-01  5.2784E-01  4.7522E-01
  4.2194E-06  8.7207E-01  4.7695E-01  4.5921E-01  4.1769E-01
  4.9649E-06  8.5755E-01  4.2989E-01  4.0687E-01  3.7242E-01
  5.8422E-06  8.4116E-01  3.8772E-01  3.6193E-01  3.3290E-01
  6.8744E-06  8.2490E-01  3.4700E-01  3.1801E-01  2.9448E-01
  8.0891E-06  8.0794E-01  3.0917E-01  2.7780E-01  2.5912E-01
  9.5184E-06  7.9031E-01  2.7419E-01  2.4116E-01  2.2673E-01
  1.1200E-05  7.7165E-01  2.4272E-01  2.0906E-01  1.9808E-01
  1.3179E-05  7.5181E-01  2.1500E-01  1.8184E-01  1.7342E-01
  1.5508E-05  7.3115E-01  1.9033E-01  1.5845E-01  1.5195E-01
  1.8248E-05  7.1007E-01  1.6802E-01  1.3785E-01  1.3285E-01
  2.1472E-05  6.8888E-01  1.4752E-01  1.1924E-01  1.1551E-01
  2.5266E-05  6.6725E-01  1.2943E-01  1.0337E-01  1.0054E-01
  2.9731E-05  6.4525E-01  1.1359E-01  8.9963E-02  8.7717E-02
  3.4984E-05  6.2310E-01  9.9579E-02  7.8476E-02  7.6617E-02
  4.1165E-05  6.0101E-01  8.7060E-02  6.8432E-02  6.6852E-02
  4.8439E-05  5.7883E-01  7.6222E-02  5.9979E-02  5.8589E-02
  5.6998E-05  5.5671E-01  6.6781E-02  5.2781E-02  5.1541E-02
  6.7069E-05  5.3492E-01  5.8285E-02  4.6347E-02  4.5279E-02
  7.8919E-05  5.1336E-01  5.0870E-02  4.0816E-02  3.9911E-02
  9.2864E-05  4.9193E-01  4.4636E-02  3.6247E-02  3.5469E-02
  1.0927E-04  4.7084E-01  3.9203E-02  3.2289E-02  3.1635E-02
  1.2858E-04  4.5014E-01  3.4494E-02  2.8859E-02  2.8332E-02
  1.5130E-04  4.2984E-01  3.0441E-02  2.5881E-02  2.5483E-02
  1.7803E-04  4.0998E-01  2.7030E-02  2.3270E-02  2.3005E-02
  2.0949E-04  3.9061E-01  2.4096E-02  2.0972E-02  2.0838E-02
  2.4650E-04  3.7167E-01  2.1533E-02  1.9088E-02  1.8963E-02
  2.9006E-04  3.5319E-01  1.9527E-02  1.7491E-02  1.7316E-02
  3.4131E-04  3.3520E-01  1.7709E-02  1.6056E-02  1.5841E-02
  4.0162E-04  3.1774E-01  1.6054E-02  1.4759E-02  1.4509E-02
  4.7258E-04  3.0082E-01  1.4547E-02  1.3612E-02  1.3301E-02
  5.5608E-04  2.8441E-01  1.3166E-02  1.2587E-02  1.2190E-02
  6.5434E-04  2.6854E-01  1.1913E-02  1.1650E-02  1.1167E-02
  7.6995E-04  2.5322E-01  1.0768E-02  1.0780E-02  1.0218E-02
  9.0600E-04  2.3844E-01  9.7070E-03  9.9894E-03  9.3462E-03
  1.0661E-03  2.2419E-01  8.7321E-03  9.2521E-03  8.5397E-03
  1.2544E-03  2.1049E-01  7.8455E-03  8.5460E-03  7.7901E-03
  1.4761E-03  1.9732E-01  7.0404E-03  7.8689E-03  7.0934E-03
  1.7369E-03  1.8467E-01  6.3126E-03  7.2271E-03  6.4489E-03
  2.0438E-03  1.7251E-01  5.6595E-03  6.6297E-03  5.8584E-03
  2.4049E-03  1.6087E-01  5.0795E-03  6.0666E-03  5.3178E-03
  2.8299E-03  1.4975E-01  4.5682E-03  5.5324E-03  4.8202E-03
  3.3299E-03  1.3912E-01  4.1191E-03  5.0297E-03  4.3625E-03
  3.9183E-03  1.2895E-01  3.7171E-03  4.5629E-03  3.9432E-03
  4.6106E-03  1.1924E-01  3.3523E-03  4.1301E-03  3.5602E-03
  5.4253E-03  1.0999E-01  3.0170E-03  3.7296E-03  3.2080E-03
  6.3839E-03  1.0117E-01  2.7046E-03  3.3702E-03  2.8829E-03
