 # x =   1.0000E-03
 #        q2       xcbar      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00 -4.9615E-02  5.3636E-03  3.9148E-03  3.9711E-03
  2.6750E+00 -7.3665E-03  7.2673E-03  5.3736E-03  5.5231E-03
  3.3992E+00  3.3111E-02  9.3232E-03  7.0283E-03  7.3037E-03
  4.3194E+00  7.3345E-02  1.1332E-02  8.7122E-03  9.0926E-03
  5.4888E+00  1.1322E-01  1.3192E-02  1.0357E-02  1.0811E-02
  6.9748E+00  1.5275E-01  1.4901E-02  1.2073E-02  1.2443E-02
  8.8630E+00  1.9192E-01  1.6499E-02  1.3707E-02  1.3986E-02
  1.1262E+01  2.3075E-01  1.7967E-02  1.5280E-02  1.5443E-02
  1.4311E+01  2.6922E-01  1.9327E-02  1.6803E-02  1.6827E-02
  1.8186E+01  3.0733E-01  2.0601E-02  1.8266E-02  1.8141E-02
  2.3109E+01  3.4500E-01  2.1779E-02  1.9655E-02  1.9376E-02
  2.9365E+01  3.8268E-01  2.2907E-02  2.0992E-02  2.0562E-02
  3.7315E+01  4.1989E-01  2.3972E-02  2.2283E-02  2.1697E-02
  4.7417E+01  4.5672E-01  2.4982E-02  2.3521E-02  2.2780E-02
  6.0254E+01  4.9315E-01  2.5939E-02  2.4706E-02  2.3813E-02
  7.6566E+01  5.2919E-01  2.6856E-02  2.5834E-02  2.4800E-02
  9.7294E+01  5.6485E-01  2.7727E-02  2.6914E-02  2.5744E-02
  1.2363E+02  6.0012E-01  2.8538E-02  2.7976E-02  2.6651E-02
  1.5710E+02  6.3500E-01  2.9304E-02  2.9003E-02  2.7520E-02
  1.9964E+02  6.6950E-01  3.0045E-02  2.9976E-02  2.8353E-02
  2.5368E+02  7.0361E-01  3.0752E-02  3.0912E-02  2.9152E-02
  3.2236E+02  7.3736E-01  3.1427E-02  3.1815E-02  2.9921E-02
  4.0963E+02  7.7074E-01  3.2067E-02  3.2693E-02  3.0662E-02
  5.2053E+02  8.0375E-01  3.2665E-02  3.3551E-02  3.1374E-02
  6.6145E+02  8.3638E-01  3.3242E-02  3.4375E-02  3.2059E-02
  8.4051E+02  8.6863E-01  3.3811E-02  3.5152E-02  3.2718E-02
  1.0681E+03  9.0053E-01  3.4353E-02  3.5906E-02  3.3353E-02
  1.3572E+03  9.3208E-01  3.4853E-02  3.6655E-02  3.3966E-02
  1.7246E+03  9.6327E-01  3.5344E-02  3.7365E-02  3.4556E-02
  2.1915E+03  9.9409E-01  3.5869E-02  3.7984E-02  3.5120E-02
  2.7848E+03  1.0246E+00  3.6397E-02  3.8552E-02  3.5661E-02
  3.5388E+03  1.0547E+00  3.6834E-02  3.9201E-02  3.6197E-02
  4.4968E+03  1.0846E+00  3.7165E-02  3.9948E-02  3.6729E-02
  5.7141E+03  1.1141E+00  3.7505E-02  4.0642E-02  3.7241E-02
  7.2611E+03  1.1432E+00  3.7924E-02  4.1199E-02  3.7726E-02
  9.2268E+03  1.1720E+00  3.8340E-02  4.1712E-02  3.8188E-02
  1.1725E+04  1.2005E+00  3.8656E-02  4.2275E-02  3.8624E-02
  1.4899E+04  1.2287E+00  3.8896E-02  4.2864E-02  3.9034E-02
  1.8932E+04  1.2565E+00  3.9168E-02  4.3418E-02  3.9444E-02
  2.4058E+04  1.2841E+00  3.9503E-02  4.3924E-02  3.9862E-02
  3.0571E+04  1.3113E+00  3.9848E-02  4.4398E-02  4.0270E-02
  3.8847E+04  1.3383E+00  4.0172E-02  4.4851E-02  4.0653E-02
  4.9364E+04  1.3649E+00  4.0487E-02  4.5279E-02  4.1018E-02
  6.2728E+04  1.3913E+00  4.0802E-02  4.5673E-02  4.1367E-02
  7.9710E+04  1.4173E+00  4.1121E-02  4.6027E-02  4.1700E-02
  1.0129E+05  1.4431E+00  4.1409E-02  4.6390E-02  4.2022E-02
  1.2871E+05  1.4686E+00  4.1634E-02  4.6794E-02  4.2339E-02
  1.6355E+05  1.4938E+00  4.1835E-02  4.7203E-02  4.2648E-02
  2.0783E+05  1.5188E+00  4.2063E-02  4.7578E-02  4.2949E-02
  2.6410E+05  1.5434E+00  4.2307E-02  4.7928E-02  4.3244E-02
  3.3559E+05  1.5679E+00  4.2551E-02  4.8266E-02  4.3533E-02
  4.2645E+05  1.5920E+00  4.2797E-02  4.8594E-02  4.3823E-02
  5.4190E+05  1.6159E+00  4.3031E-02  4.8913E-02  4.4102E-02
  6.8860E+05  1.6395E+00  4.3244E-02  4.9209E-02  4.4357E-02
  8.7502E+05  1.6629E+00  4.3434E-02  4.9500E-02  4.4597E-02
  1.1119E+06  1.6861E+00  4.3561E-02  4.9857E-02  4.4837E-02
  1.4129E+06  1.7090E+00  4.3605E-02  5.0301E-02  4.5079E-02
  1.7954E+06  1.7317E+00  4.3688E-02  5.0687E-02  4.5312E-02
  2.2815E+06  1.7541E+00  4.3905E-02  5.0897E-02  4.5528E-02
  2.8992E+06  1.7763E+00  4.4159E-02  5.1055E-02  4.5736E-02
  3.6840E+06  1.7983E+00  4.4312E-02  5.1338E-02  4.5953E-02
  4.6814E+06  1.8200E+00  4.4388E-02  5.1717E-02  4.6177E-02
  5.9487E+06  1.8416E+00  4.4468E-02  5.2046E-02  4.6377E-02
  7.5592E+06  1.8629E+00  4.4556E-02  5.2291E-02  4.6540E-02
  9.6056E+06  1.8839E+00  4.4662E-02  5.2505E-02  4.6699E-02
  1.2206E+07  1.9048E+00  4.4812E-02  5.2722E-02  4.6882E-02
  1.5511E+07  1.9255E+00  4.4991E-02  5.2923E-02  4.7074E-02
  1.9710E+07  1.9459E+00  4.5189E-02  5.3067E-02  4.7246E-02
  2.5046E+07  1.9661E+00  4.5425E-02  5.3125E-02  4.7393E-02
  3.1826E+07  1.9861E+00  4.5608E-02  5.3227E-02  4.7535E-02
  4.0442E+07  2.0060E+00  4.5655E-02  5.3477E-02  4.7681E-02
  5.1390E+07  2.0257E+00  4.5650E-02  5.3779E-02  4.7827E-02
  6.5303E+07  2.0451E+00  4.5718E-02  5.4012E-02  4.7973E-02
  8.2982E+07  2.0644E+00  4.5831E-02  5.4203E-02  4.8121E-02
  1.0545E+08  2.0835E+00  4.5955E-02  5.4367E-02  4.8259E-02
  1.3399E+08  2.1024E+00  4.6097E-02  5.4497E-02  4.8387E-02
  1.7027E+08  2.1211E+00  4.6231E-02  5.4615E-02  4.8506E-02
  2.1637E+08  2.1396E+00  4.6323E-02  5.4740E-02  4.8607E-02
  2.7494E+08  2.1580E+00  4.6387E-02  5.4869E-02  4.8695E-02
  3.4937E+08  2.1761E+00  4.6441E-02  5.5041E-02  4.8802E-02
  4.4396E+08  2.1942E+00  4.6484E-02  5.5272E-02  4.8933E-02
  5.6414E+08  2.2120E+00  4.6526E-02  5.5489E-02  4.9056E-02
  7.1687E+08  2.2297E+00  4.6574E-02  5.5659E-02  4.9159E-02
  9.1094E+08  2.2472E+00  4.6625E-02  5.5799E-02  4.9248E-02
  1.1576E+09  2.2649E+00  4.6674E-02  5.5937E-02  4.9334E-02
  1.4709E+09  2.2827E+00  4.6721E-02  5.6085E-02  4.9425E-02
  1.8692E+09  2.3008E+00  4.6766E-02  5.6233E-02  4.9515E-02
  2.3752E+09  2.3189E+00  4.6810E-02  5.6381E-02  4.9603E-02
  3.0182E+09  2.3373E+00  4.6852E-02  5.6528E-02  4.9690E-02
  3.8353E+09  2.3557E+00  4.6893E-02  5.6674E-02  4.9776E-02
  4.8736E+09  2.3743E+00  4.6933E-02  5.6820E-02  4.9861E-02
  6.1930E+09  2.3931E+00  4.6971E-02  5.6966E-02  4.9945E-02
  7.8695E+09  2.4120E+00  4.7008E-02  5.7111E-02  5.0028E-02
  1.0000E+10  2.4310E+00  4.7043E-02  5.7256E-02  5.0109E-02
