 # q =   1.0000E+01
 #         x       xcbar      error+      error-       error
  1.0000E-07  9.7653E-01  7.1623E+00  8.9246E+00  7.0972E+00
  1.1767E-07  1.0070E+00  6.8806E+00  8.5898E+00  6.8448E+00
  1.3846E-07  1.0383E+00  6.6023E+00  8.2566E+00  6.5936E+00
  1.6293E-07  1.0707E+00  6.3270E+00  7.9249E+00  6.3433E+00
  1.9171E-07  1.1041E+00  6.0545E+00  7.5945E+00  6.0935E+00
  2.2559E-07  1.1385E+00  5.7845E+00  7.2654E+00  5.8440E+00
  2.6545E-07  1.1739E+00  5.5167E+00  6.9373E+00  5.5945E+00
  3.1235E-07  1.2105E+00  5.2508E+00  6.6098E+00  5.3446E+00
  3.6754E-07  1.2483E+00  4.9867E+00  6.2826E+00  5.0937E+00
  4.3248E-07  1.2872E+00  4.7239E+00  5.9550E+00  4.8415E+00
  5.0890E-07  1.3273E+00  4.4624E+00  5.6263E+00  4.5873E+00
  5.9882E-07  1.3686E+00  4.2017E+00  5.2955E+00  4.3304E+00
  7.0462E-07  1.4113E+00  3.9416E+00  4.9615E+00  4.0698E+00
  8.2912E-07  1.4553E+00  3.6819E+00  4.6228E+00  3.8046E+00
  9.7562E-07  1.5006E+00  3.4223E+00  4.2773E+00  3.5334E+00
  1.1480E-06  1.5596E+00  3.1399E+00  3.8642E+00  3.2110E+00
  1.3509E-06  1.6145E+00  2.8674E+00  3.4637E+00  2.8978E+00
  1.5895E-06  1.6624E+00  2.6100E+00  3.0891E+00  2.6037E+00
  1.8704E-06  1.7034E+00  2.3677E+00  2.7402E+00  2.3289E+00
  2.2009E-06  1.7378E+00  2.1397E+00  2.4157E+00  2.0720E+00
  2.5898E-06  1.7669E+00  1.9241E+00  2.1117E+00  1.8305E+00
  3.0474E-06  1.7887E+00  1.7243E+00  1.8351E+00  1.6092E+00
  3.5858E-06  1.8008E+00  1.5440E+00  1.5929E+00  1.4134E+00
  4.2194E-06  1.8010E+00  1.3871E+00  1.3927E+00  1.2486E+00
  4.9649E-06  1.7880E+00  1.2555E+00  1.2377E+00  1.1171E+00
  5.8422E-06  1.7693E+00  1.1368E+00  1.1035E+00  1.0015E+00
  6.8744E-06  1.7501E+00  1.0221E+00  9.7264E-01  8.8929E-01
  8.0891E-06  1.7283E+00  9.1535E-01  8.5244E-01  7.8567E-01
  9.5184E-06  1.7039E+00  8.1618E-01  7.4256E-01  6.9042E-01
  1.1200E-05  1.6759E+00  7.2641E-01  6.4577E-01  6.0567E-01
  1.3179E-05  1.6438E+00  6.4677E-01  5.6304E-01  5.3221E-01
  1.5508E-05  1.6088E+00  5.7552E-01  4.9144E-01  4.6781E-01
  1.8248E-05  1.5719E+00  5.1071E-01  4.2803E-01  4.1019E-01
  2.1472E-05  1.5340E+00  4.5089E-01  3.7058E-01  3.5762E-01
  2.5266E-05  1.4941E+00  3.9753E-01  3.2132E-01  3.1184E-01
  2.9731E-05  1.4525E+00  3.5024E-01  2.7942E-01  2.7232E-01
  3.4984E-05  1.4098E+00  3.0812E-01  2.4330E-01  2.3783E-01
  4.1165E-05  1.3666E+00  2.7028E-01  2.1155E-01  2.0730E-01
  4.8439E-05  1.3224E+00  2.3722E-01  1.8484E-01  1.8127E-01
  5.6998E-05  1.2777E+00  2.0818E-01  1.6216E-01  1.5892E-01
  6.7069E-05  1.2332E+00  1.8190E-01  1.4182E-01  1.3894E-01
  7.8919E-05  1.1887E+00  1.5877E-01  1.2426E-01  1.2170E-01
  9.2864E-05  1.1440E+00  1.3905E-01  1.0978E-01  1.0742E-01
  1.0927E-04  1.0996E+00  1.2175E-01  9.7230E-02  9.5096E-02
  1.2858E-04  1.0556E+00  1.0669E-01  8.6353E-02  8.4496E-02
  1.5130E-04  1.0122E+00  9.3645E-02  7.6960E-02  7.5410E-02
  1.7803E-04  9.6939E-01  8.2315E-02  6.8784E-02  6.7570E-02
  2.0949E-04  9.2743E-01  7.2715E-02  6.1606E-02  6.0774E-02
  2.4650E-04  8.8613E-01  6.4933E-02  5.5469E-02  5.5003E-02
  2.9006E-04  8.4554E-01  5.8220E-02  5.0201E-02  5.0047E-02
  3.4131E-04  8.0580E-01  5.2755E-02  4.5611E-02  4.5693E-02
  4.0162E-04  7.6708E-01  4.8065E-02  4.1827E-02  4.1813E-02
  4.7258E-04  7.2934E-01  4.3720E-02  3.8438E-02  3.8343E-02
  5.5608E-04  6.9257E-01  3.9707E-02  3.5415E-02  3.5198E-02
  6.5434E-04  6.5688E-01  3.6036E-02  3.2752E-02  3.2327E-02
  7.6995E-04  6.2225E-01  3.2669E-02  3.0388E-02  2.9685E-02
  9.0600E-04  5.8871E-01  2.9577E-02  2.8247E-02  2.7242E-02
  1.0661E-03  5.5628E-01  2.6730E-02  2.6285E-02  2.4982E-02
  1.2544E-03  5.2497E-01  2.4093E-02  2.4460E-02  2.2887E-02
  1.4761E-03  4.9475E-01  2.1659E-02  2.2737E-02  2.0940E-02
  1.7369E-03  4.6561E-01  1.9430E-02  2.1107E-02  1.9138E-02
  2.0438E-03  4.3752E-01  1.7417E-02  1.9583E-02  1.7487E-02
  2.4049E-03  4.1053E-01  1.5617E-02  1.8130E-02  1.5971E-02
  2.8299E-03  3.8461E-01  1.4021E-02  1.6718E-02  1.4574E-02
  3.3299E-03  3.5973E-01  1.2626E-02  1.5359E-02  1.3294E-02
  3.9183E-03  3.3580E-01  1.1417E-02  1.4094E-02  1.2129E-02
  4.6106E-03  3.1285E-01  1.0388E-02  1.2923E-02  1.1075E-02
  5.4253E-03  2.9087E-01  9.4759E-03  1.1818E-02  1.0112E-02
  6.3839E-03  2.6977E-01  8.6396E-03  1.0804E-02  9.2262E-03
  7.5118E-03  2.4955E-01  7.8706E-03  9.8662E-03  8.4041E-03
  8.8391E-03  2.3015E-01  7.1427E-03  9.0088E-03  7.6383E-03
  1.0401E-02  2.1155E-01  6.4445E-03  8.2077E-03  6.9131E-03
  1.2239E-02  1.9373E-01  5.7644E-03  7.4363E-03  6.2118E-03
  1.4401E-02  1.7664E-01  5.1078E-03  6.6807E-03  5.5338E-03
  1.6946E-02  1.6026E-01  4.5006E-03  5.9216E-03  4.8729E-03
  1.9940E-02  1.4459E-01  3.9225E-03  5.1795E-03  4.2443E-03
  2.3463E-02  1.2959E-01  3.3852E-03  4.4749E-03  3.6617E-03
