 # x =   1.0000E-03
 #        q2        xchm      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00 -4.9602E-02  5.3635E-03  3.9147E-03  3.9711E-03
  2.6750E+00 -7.3159E-03  7.2671E-03  5.3737E-03  5.5232E-03
  3.3992E+00  3.3189E-02  9.3230E-03  7.0287E-03  7.3041E-03
  4.3194E+00  7.3444E-02  1.1332E-02  8.7128E-03  9.0933E-03
  5.4888E+00  1.1334E-01  1.3192E-02  1.0357E-02  1.0812E-02
  6.9748E+00  1.5288E-01  1.4901E-02  1.2075E-02  1.2444E-02
  8.8630E+00  1.9206E-01  1.6499E-02  1.3709E-02  1.3988E-02
  1.1262E+01  2.3090E-01  1.7966E-02  1.5282E-02  1.5444E-02
  1.4311E+01  2.6937E-01  1.9327E-02  1.6805E-02  1.6829E-02
  1.8186E+01  3.0749E-01  2.0601E-02  1.8268E-02  1.8143E-02
  2.3109E+01  3.4515E-01  2.1779E-02  1.9657E-02  1.9378E-02
  2.9365E+01  3.8283E-01  2.2907E-02  2.0994E-02  2.0564E-02
  3.7315E+01  4.2005E-01  2.3973E-02  2.2285E-02  2.1699E-02
  4.7417E+01  4.5688E-01  2.4983E-02  2.3523E-02  2.2783E-02
  6.0254E+01  4.9331E-01  2.5939E-02  2.4708E-02  2.3815E-02
  7.6566E+01  5.2935E-01  2.6857E-02  2.5835E-02  2.4802E-02
  9.7294E+01  5.6500E-01  2.7728E-02  2.6916E-02  2.5746E-02
  1.2363E+02  6.0027E-01  2.8539E-02  2.7978E-02  2.6653E-02
  1.5710E+02  6.3516E-01  2.9305E-02  2.9005E-02  2.7522E-02
  1.9964E+02  6.6965E-01  3.0045E-02  2.9978E-02  2.8355E-02
  2.5368E+02  7.0376E-01  3.0753E-02  3.0913E-02  2.9154E-02
  3.2236E+02  7.3751E-01  3.1428E-02  3.1817E-02  2.9923E-02
  4.0963E+02  7.7089E-01  3.2068E-02  3.2694E-02  3.0664E-02
  5.2053E+02  8.0389E-01  3.2666E-02  3.3552E-02  3.1376E-02
  6.6145E+02  8.3652E-01  3.3243E-02  3.4376E-02  3.2061E-02
  8.4051E+02  8.6877E-01  3.3811E-02  3.5153E-02  3.2720E-02
  1.0681E+03  9.0066E-01  3.4354E-02  3.5907E-02  3.3355E-02
  1.3572E+03  9.3221E-01  3.4854E-02  3.6656E-02  3.3968E-02
  1.7246E+03  9.6340E-01  3.5345E-02  3.7366E-02  3.4558E-02
  2.1915E+03  9.9422E-01  3.5870E-02  3.7985E-02  3.5122E-02
  2.7848E+03  1.0247E+00  3.6398E-02  3.8553E-02  3.5663E-02
  3.5388E+03  1.0548E+00  3.6835E-02  3.9202E-02  3.6199E-02
  4.4968E+03  1.0847E+00  3.7166E-02  3.9948E-02  3.6731E-02
  5.7141E+03  1.1142E+00  3.7506E-02  4.0643E-02  3.7243E-02
  7.2611E+03  1.1433E+00  3.7925E-02  4.1200E-02  3.7727E-02
  9.2268E+03  1.1721E+00  3.8341E-02  4.1712E-02  3.8189E-02
  1.1725E+04  1.2006E+00  3.8657E-02  4.2275E-02  3.8625E-02
  1.4899E+04  1.2288E+00  3.8897E-02  4.2864E-02  3.9036E-02
  1.8932E+04  1.2566E+00  3.9169E-02  4.3418E-02  3.9446E-02
  2.4058E+04  1.2842E+00  3.9504E-02  4.3924E-02  3.9863E-02
  3.0571E+04  1.3114E+00  3.9849E-02  4.4399E-02  4.0271E-02
  3.8847E+04  1.3384E+00  4.0173E-02  4.4851E-02  4.0655E-02
  4.9364E+04  1.3650E+00  4.0488E-02  4.5278E-02  4.1020E-02
  6.2728E+04  1.3913E+00  4.0803E-02  4.5673E-02  4.1369E-02
  7.9710E+04  1.4174E+00  4.1122E-02  4.6027E-02  4.1701E-02
  1.0129E+05  1.4432E+00  4.1410E-02  4.6390E-02  4.2024E-02
  1.2871E+05  1.4687E+00  4.1635E-02  4.6794E-02  4.2340E-02
  1.6355E+05  1.4939E+00  4.1836E-02  4.7203E-02  4.2649E-02
  2.0783E+05  1.5188E+00  4.2064E-02  4.7578E-02  4.2951E-02
  2.6410E+05  1.5435E+00  4.2308E-02  4.7927E-02  4.3245E-02
  3.3559E+05  1.5679E+00  4.2552E-02  4.8265E-02  4.3535E-02
  4.2645E+05  1.5921E+00  4.2797E-02  4.8594E-02  4.3824E-02
  5.4190E+05  1.6159E+00  4.3031E-02  4.8912E-02  4.4103E-02
  6.8860E+05  1.6396E+00  4.3245E-02  4.9209E-02  4.4358E-02
  8.7502E+05  1.6630E+00  4.3435E-02  4.9499E-02  4.4597E-02
  1.1119E+06  1.6861E+00  4.3562E-02  4.9856E-02  4.4838E-02
  1.4129E+06  1.7091E+00  4.3606E-02  5.0300E-02  4.5080E-02
  1.7954E+06  1.7318E+00  4.3688E-02  5.0686E-02  4.5313E-02
  2.2815E+06  1.7542E+00  4.3906E-02  5.0896E-02  4.5529E-02
  2.8992E+06  1.7763E+00  4.4160E-02  5.1054E-02  4.5737E-02
  3.6840E+06  1.7983E+00  4.4313E-02  5.1337E-02  4.5954E-02
  4.6814E+06  1.8201E+00  4.4389E-02  5.1716E-02  4.6177E-02
  5.9487E+06  1.8416E+00  4.4469E-02  5.2045E-02  4.6377E-02
  7.5592E+06  1.8629E+00  4.4556E-02  5.2289E-02  4.6541E-02
  9.6056E+06  1.8840E+00  4.4663E-02  5.2504E-02  4.6699E-02
  1.2206E+07  1.9048E+00  4.4812E-02  5.2721E-02  4.6883E-02
  1.5511E+07  1.9255E+00  4.4992E-02  5.2922E-02  4.7075E-02
  1.9710E+07  1.9459E+00  4.5189E-02  5.3066E-02  4.7246E-02
  2.5046E+07  1.9661E+00  4.5426E-02  5.3123E-02  4.7393E-02
  3.1826E+07  1.9861E+00  4.5609E-02  5.3225E-02  4.7536E-02
  4.0442E+07  2.0060E+00  4.5655E-02  5.3476E-02  4.7682E-02
  5.1390E+07  2.0257E+00  4.5650E-02  5.3777E-02  4.7827E-02
  6.5303E+07  2.0452E+00  4.5718E-02  5.4010E-02  4.7974E-02
  8.2982E+07  2.0644E+00  4.5831E-02  5.4201E-02  4.8121E-02
  1.0545E+08  2.0835E+00  4.5955E-02  5.4365E-02  4.8259E-02
  1.3399E+08  2.1024E+00  4.6097E-02  5.4495E-02  4.8387E-02
  1.7027E+08  2.1211E+00  4.6231E-02  5.4614E-02  4.8506E-02
  2.1637E+08  2.1396E+00  4.6323E-02  5.4739E-02  4.8607E-02
  2.7494E+08  2.1580E+00  4.6386E-02  5.4867E-02  4.8695E-02
  3.4937E+08  2.1761E+00  4.6441E-02  5.5040E-02  4.8802E-02
  4.4396E+08  2.1942E+00  4.6483E-02  5.5270E-02  4.8932E-02
  5.6414E+08  2.2120E+00  4.6526E-02  5.5487E-02  4.9056E-02
  7.1687E+08  2.2297E+00  4.6574E-02  5.5657E-02  4.9159E-02
  9.1094E+08  2.2472E+00  4.6625E-02  5.5797E-02  4.9247E-02
  1.1576E+09  2.2649E+00  4.6674E-02  5.5935E-02  4.9334E-02
  1.4709E+09  2.2827E+00  4.6721E-02  5.6083E-02  4.9425E-02
  1.8692E+09  2.3008E+00  4.6766E-02  5.6231E-02  4.9514E-02
  2.3752E+09  2.3189E+00  4.6810E-02  5.6379E-02  4.9603E-02
  3.0182E+09  2.3372E+00  4.6852E-02  5.6526E-02  4.9690E-02
  3.8353E+09  2.3557E+00  4.6893E-02  5.6672E-02  4.9776E-02
  4.8736E+09  2.3743E+00  4.6932E-02  5.6818E-02  4.9861E-02
  6.1930E+09  2.3931E+00  4.6970E-02  5.6964E-02  4.9945E-02
  7.8695E+09  2.4119E+00  4.7007E-02  5.7109E-02  5.0027E-02
  1.0000E+10  2.4310E+00  4.7042E-02  5.7253E-02  5.0109E-02
