 # x =   1.0000E-03
 #        q2       xdbar      error+      error-       error
  5.0000E-01  1.7156E-01  2.4576E-02  2.3540E-02  2.3713E-02
  6.3536E-01  2.1158E-01  2.9097E-02  2.7806E-02  2.8053E-02
  8.0737E-01  2.5342E-01  3.2013E-02  3.0427E-02  3.0800E-02
  1.0259E+00  2.9090E-01  3.1289E-02  2.9373E-02  2.9931E-02
  1.3037E+00  3.2503E-01  2.8899E-02  2.6719E-02  2.7414E-02
  1.6566E+00  3.5979E-01  2.7127E-02  2.4704E-02  2.5481E-02
  2.1051E+00  3.9524E-01  2.5824E-02  2.3235E-02  2.4020E-02
  2.6750E+00  4.3197E-01  2.4910E-02  2.2250E-02  2.2975E-02
  3.3992E+00  4.6859E-01  2.4314E-02  2.1642E-02  2.2265E-02
  4.3194E+00  5.0515E-01  2.3988E-02  2.1338E-02  2.1836E-02
  5.4888E+00  5.4164E-01  2.3859E-02  2.1318E-02  2.1650E-02
  6.9748E+00  5.7799E-01  2.3924E-02  2.1486E-02  2.1656E-02
  8.8630E+00  6.1421E-01  2.4084E-02  2.1849E-02  2.1818E-02
  1.1262E+01  6.5027E-01  2.4374E-02  2.2331E-02  2.2110E-02
  1.4311E+01  6.8611E-01  2.4744E-02  2.2917E-02  2.2504E-02
  1.8186E+01  7.2174E-01  2.5153E-02  2.3594E-02  2.2974E-02
  2.3109E+01  7.5697E-01  2.5582E-02  2.4312E-02  2.3491E-02
  2.9365E+01  7.9247E-01  2.6101E-02  2.5045E-02  2.4065E-02
  3.7315E+01  8.2757E-01  2.6654E-02  2.5774E-02  2.4664E-02
  4.7417E+01  8.6238E-01  2.7206E-02  2.6532E-02  2.5286E-02
  6.0254E+01  8.9687E-01  2.7751E-02  2.7308E-02  2.5922E-02
  7.6566E+01  9.3105E-01  2.8292E-02  2.8092E-02  2.6565E-02
  9.7294E+01  9.6490E-01  2.8830E-02  2.8872E-02  2.7209E-02
  1.2363E+02  9.9842E-01  2.9394E-02  2.9606E-02  2.7847E-02
  1.5710E+02  1.0316E+00  2.9939E-02  3.0335E-02  2.8477E-02
  1.9964E+02  1.0645E+00  3.0372E-02  3.1150E-02  2.9096E-02
  2.5368E+02  1.0971E+00  3.0816E-02  3.1938E-02  2.9709E-02
  3.2236E+02  1.1293E+00  3.1370E-02  3.2602E-02  3.0313E-02
  4.0963E+02  1.1612E+00  3.1909E-02  3.3258E-02  3.0908E-02
  5.2053E+02  1.1927E+00  3.2360E-02  3.3974E-02  3.1493E-02
  6.6145E+02  1.2240E+00  3.2809E-02  3.4676E-02  3.2071E-02
  8.4051E+02  1.2549E+00  3.3305E-02  3.5329E-02  3.2647E-02
  1.0681E+03  1.2854E+00  3.3758E-02  3.5975E-02  3.3200E-02
