 # q =   1.0000E+01
 #         x       xdbar      error+      error-       error
  1.0000E-07  1.4239E+00  8.5320E+00  1.0720E+01  8.5218E+00
  1.1767E-07  1.4665E+00  8.2138E+00  1.0317E+01  8.2248E+00
  1.3846E-07  1.5103E+00  7.8975E+00  9.9158E+00  7.9281E+00
  1.6293E-07  1.5554E+00  7.5830E+00  9.5159E+00  7.6313E+00
  1.9171E-07  1.6019E+00  7.2699E+00  9.1172E+00  7.3341E+00
  2.2559E-07  1.6498E+00  6.9580E+00  8.7195E+00  7.0362E+00
  2.6545E-07  1.6991E+00  6.6471E+00  8.3223E+00  6.7371E+00
  3.1235E-07  1.7499E+00  6.3367E+00  7.9252E+00  6.4364E+00
  3.6754E-07  1.8022E+00  6.0268E+00  7.5277E+00  6.1337E+00
  4.3248E-07  1.8561E+00  5.7169E+00  7.1290E+00  5.8282E+00
  5.0890E-07  1.9116E+00  5.4069E+00  6.7283E+00  5.5193E+00
  5.9882E-07  1.9688E+00  5.0965E+00  6.3244E+00  5.2063E+00
  7.0462E-07  2.0276E+00  4.7853E+00  5.9162E+00  4.8882E+00
  8.2912E-07  2.0883E+00  4.4732E+00  5.5020E+00  4.5641E+00
  9.7562E-07  2.1507E+00  4.1598E+00  5.0802E+00  4.2327E+00
  1.1480E-06  2.2309E+00  3.8154E+00  4.5836E+00  3.8428E+00
  1.3509E-06  2.3058E+00  3.4827E+00  4.1033E+00  3.4646E+00
  1.5895E-06  2.3717E+00  3.1684E+00  3.6541E+00  3.1096E+00
  1.8704E-06  2.4285E+00  2.8726E+00  3.2361E+00  2.7778E+00
  2.2009E-06  2.4769E+00  2.5942E+00  2.8472E+00  2.4678E+00
  2.5898E-06  2.5182E+00  2.3310E+00  2.4832E+00  2.1764E+00
  3.0474E-06  2.5500E+00  2.0871E+00  2.1519E+00  1.9094E+00
  3.5858E-06  2.5695E+00  1.8670E+00  1.8620E+00  1.6733E+00
  4.2194E-06  2.5739E+00  1.6754E+00  1.6227E+00  1.4747E+00
  4.9649E-06  2.5616E+00  1.5145E+00  1.4381E+00  1.3164E+00
  5.8422E-06  2.5418E+00  1.3694E+00  1.2784E+00  1.1775E+00
  6.8744E-06  2.5209E+00  1.2296E+00  1.1225E+00  1.0425E+00
  8.0891E-06  2.4963E+00  1.0994E+00  9.7937E-01  9.1792E-01
  9.5184E-06  2.4681E+00  9.7836E-01  8.4891E-01  8.0350E-01
  1.1200E-05  2.4350E+00  8.6885E-01  7.3411E-01  7.0175E-01
  1.3179E-05  2.3964E+00  7.7178E-01  6.3620E-01  6.1366E-01
  1.5508E-05  2.3537E+00  6.8489E-01  5.5166E-01  5.3652E-01
  1.8248E-05  2.3082E+00  6.0588E-01  4.7697E-01  4.6755E-01
  2.1472E-05  2.2610E+00  5.3294E-01  4.0949E-01  4.0465E-01
  2.5266E-05  2.2111E+00  4.6795E-01  3.5183E-01  3.4996E-01
  2.9731E-05  2.1586E+00  4.1042E-01  3.0296E-01  3.0283E-01
  3.4984E-05  2.1043E+00  3.5926E-01  2.6100E-01  2.6178E-01
  4.1165E-05  2.0490E+00  3.1329E-01  2.2434E-01  2.2548E-01
  4.8439E-05  1.9921E+00  2.7312E-01  1.9374E-01  1.9464E-01
