 # x =   1.0000E-03
 #        q2         xdn      error+      error-       error
  5.0000E-01  1.7616E-01  2.4896E-02  2.3396E-02  2.3845E-02
  6.3536E-01  2.1740E-01  2.9481E-02  2.7661E-02  2.8222E-02
  8.0737E-01  2.6073E-01  3.2449E-02  3.0318E-02  3.1011E-02
  1.0259E+00  2.9997E-01  3.1752E-02  2.9320E-02  3.0169E-02
  1.3037E+00  3.3583E-01  2.9406E-02  2.6692E-02  2.7652E-02
  1.6566E+00  3.7214E-01  2.7666E-02  2.4683E-02  2.5704E-02
  2.1051E+00  4.0905E-01  2.6365E-02  2.3183E-02  2.4211E-02
  2.6750E+00  4.4705E-01  2.5437E-02  2.2144E-02  2.3122E-02
  3.3992E+00  4.8486E-01  2.4870E-02  2.1464E-02  2.2359E-02
  4.3194E+00  5.2254E-01  2.4566E-02  2.1078E-02  2.1869E-02
  5.4888E+00  5.6009E-01  2.4448E-02  2.0974E-02  2.1618E-02
  6.9748E+00  5.9745E-01  2.4503E-02  2.1070E-02  2.1559E-02
  8.8630E+00  6.3463E-01  2.4654E-02  2.1363E-02  2.1656E-02
  1.1262E+01  6.7160E-01  2.4932E-02  2.1777E-02  2.1886E-02
  1.4311E+01  7.0832E-01  2.5288E-02  2.2301E-02  2.2222E-02
  1.8186E+01  7.4480E-01  2.5674E-02  2.2927E-02  2.2638E-02
  2.3109E+01  7.8087E-01  2.6073E-02  2.3608E-02  2.3105E-02
  2.9365E+01  8.1714E-01  2.6537E-02  2.4330E-02  2.3635E-02
  3.7315E+01  8.5299E-01  2.7014E-02  2.5072E-02  2.4192E-02
  4.7417E+01  8.8853E-01  2.7486E-02  2.5852E-02  2.4776E-02
  6.0254E+01  9.2373E-01  2.7952E-02  2.6649E-02  2.5377E-02
  7.6566E+01  9.5860E-01  2.8438E-02  2.7438E-02  2.5991E-02
  9.7294E+01  9.9313E-01  2.8927E-02  2.8209E-02  2.6610E-02
  1.2363E+02  1.0273E+00  2.9464E-02  2.8928E-02  2.7220E-02
  1.5710E+02  1.0611E+00  2.9990E-02  2.9639E-02  2.7824E-02
  1.9964E+02  1.0947E+00  3.0412E-02  3.0432E-02  2.8422E-02
  2.5368E+02  1.1278E+00  3.0844E-02  3.1202E-02  2.9017E-02
  3.2236E+02  1.1606E+00  3.1380E-02  3.1865E-02  2.9602E-02
  4.0963E+02  1.1931E+00  3.1902E-02  3.2522E-02  3.0182E-02
  5.2053E+02  1.2253E+00  3.2348E-02  3.3237E-02  3.0758E-02
  6.6145E+02  1.2571E+00  3.2785E-02  3.3942E-02  3.1327E-02
  8.4051E+02  1.2885E+00  3.3250E-02  3.4603E-02  3.1886E-02
  1.0681E+03  1.3196E+00  3.3677E-02  3.5259E-02  3.2426E-02
  1.3572E+03  1.3504E+00  3.4017E-02  3.5938E-02  3.2934E-02
  1.7246E+03  1.3809E+00  3.4365E-02  3.6579E-02  3.3427E-02
  2.1915E+03  1.4110E+00  3.4832E-02  3.7102E-02  3.3918E-02
  2.7848E+03  1.4408E+00  3.5345E-02  3.7562E-02  3.4399E-02
  3.5388E+03  1.4702E+00  3.5708E-02  3.8134E-02  3.4868E-02
  4.4968E+03  1.4994E+00  3.5895E-02  3.8842E-02  3.5324E-02
  5.7141E+03  1.5283E+00  3.6131E-02  3.9485E-02  3.5771E-02
  7.2611E+03  1.5568E+00  3.6545E-02  3.9946E-02  3.6212E-02
  9.2268E+03  1.5850E+00  3.6989E-02  4.0350E-02  3.6639E-02
  1.1725E+04  1.6129E+00  3.7309E-02  4.0829E-02  3.7038E-02
  1.4899E+04  1.6405E+00  3.7544E-02  4.1348E-02  3.7410E-02
  1.8932E+04  1.6678E+00  3.7806E-02  4.1833E-02  3.7784E-02
  2.4058E+04  1.6948E+00  3.8139E-02  4.2254E-02  3.8169E-02
  3.0571E+04  1.7215E+00  3.8458E-02  4.2673E-02  3.8548E-02
  3.8847E+04  1.7480E+00  3.8673E-02  4.3160E-02  3.8906E-02
  4.9364E+04  1.7741E+00  3.8839E-02  4.3668E-02  3.9248E-02
  6.2728E+04  1.8000E+00  3.9096E-02  4.4062E-02  3.9576E-02
  7.9710E+04  1.8256E+00  3.9455E-02  4.4329E-02  3.9889E-02
  1.0129E+05  1.8508E+00  3.9778E-02  4.4623E-02  4.0196E-02
  1.2871E+05  1.8759E+00  3.9992E-02  4.5021E-02  4.0501E-02
  1.6355E+05  1.9007E+00  4.0165E-02  4.5451E-02  4.0802E-02
  2.0783E+05  1.9252E+00  4.0355E-02  4.5850E-02  4.1101E-02
  2.6410E+05  1.9494E+00  4.0550E-02  4.6231E-02  4.1398E-02
  3.3559E+05  1.9734E+00  4.0722E-02  4.6609E-02  4.1680E-02
  4.2645E+05  1.9972E+00  4.0846E-02  4.7001E-02  4.1941E-02
  5.4190E+05  2.0207E+00  4.0986E-02  4.7360E-02  4.2193E-02
  6.8860E+05  2.0439E+00  4.1210E-02  4.7626E-02  4.2444E-02
  8.7502E+05  2.0669E+00  4.1476E-02  4.7840E-02  4.2691E-02
  1.1119E+06  2.0896E+00  4.1690E-02  4.8097E-02  4.2931E-02
  1.4129E+06  2.1122E+00  4.1855E-02  4.8401E-02  4.3166E-02
  1.7954E+06  2.1345E+00  4.2008E-02  4.8699E-02  4.3391E-02
  2.2815E+06  2.1565E+00  4.2154E-02  4.8974E-02  4.3602E-02
  2.8992E+06  2.1784E+00  4.2300E-02  4.9230E-02  4.3803E-02
  3.6840E+06  2.2000E+00  4.2481E-02  4.9445E-02  4.4001E-02
  4.6814E+06  2.2214E+00  4.2692E-02  4.9622E-02  4.4195E-02
  5.9487E+06  2.2425E+00  4.2875E-02  4.9816E-02  4.4384E-02
  7.5592E+06  2.2635E+00  4.3021E-02  5.0033E-02  4.4569E-02
  9.6056E+06  2.2842E+00  4.3137E-02  5.0269E-02  4.4748E-02
  1.2206E+07  2.3048E+00  4.3203E-02  5.0542E-02  4.4923E-02
  1.5511E+07  2.3252E+00  4.3241E-02  5.0834E-02  4.5093E-02
  1.9710E+07  2.3453E+00  4.3331E-02  5.1062E-02  4.5255E-02
  2.5046E+07  2.3652E+00  4.3492E-02  5.1207E-02  4.5407E-02
  3.1826E+07  2.3850E+00  4.3632E-02  5.1366E-02  4.5557E-02
  4.0442E+07  2.4045E+00  4.3688E-02  5.1606E-02  4.5710E-02
  5.1390E+07  2.4239E+00  4.3721E-02  5.1867E-02  4.5862E-02
  6.5303E+07  2.4431E+00  4.3812E-02  5.2074E-02  4.6010E-02
  8.2982E+07  2.4620E+00  4.3942E-02  5.2244E-02  4.6156E-02
  1.0545E+08  2.4808E+00  4.4033E-02  5.2429E-02  4.6292E-02
  1.3399E+08  2.4995E+00  4.4040E-02  5.2661E-02  4.6415E-02
  1.7027E+08  2.5179E+00  4.4061E-02  5.2868E-02  4.6532E-02
  2.1637E+08  2.5362E+00  4.4209E-02  5.2953E-02  4.6650E-02
  2.7494E+08  2.5542E+00  4.4426E-02  5.2969E-02  4.6768E-02
  3.4937E+08  2.5722E+00  4.4548E-02  5.3087E-02  4.6890E-02
  4.4396E+08  2.5899E+00  4.4553E-02  5.3336E-02  4.7019E-02
  5.6414E+08  2.6075E+00  4.4554E-02  5.3575E-02  4.7140E-02
  7.1687E+08  2.6250E+00  4.4599E-02  5.3741E-02  4.7246E-02
  9.1094E+08  2.6422E+00  4.4662E-02  5.3868E-02  4.7341E-02
