 # q =   1.0000E+01
 #         x         xdn      error+      error-       error
  1.0000E-07  1.4236E+00  8.5320E+00  1.0720E+01  8.5218E+00
  1.1767E-07  1.4662E+00  8.2138E+00  1.0317E+01  8.2248E+00
  1.3846E-07  1.5101E+00  7.8975E+00  9.9158E+00  7.9281E+00
  1.6293E-07  1.5553E+00  7.5830E+00  9.5159E+00  7.6313E+00
  1.9171E-07  1.6018E+00  7.2699E+00  9.1172E+00  7.3341E+00
  2.2559E-07  1.6497E+00  6.9580E+00  8.7195E+00  7.0362E+00
  2.6545E-07  1.6991E+00  6.6471E+00  8.3223E+00  6.7371E+00
  3.1235E-07  1.7499E+00  6.3367E+00  7.9252E+00  6.4364E+00
  3.6754E-07  1.8023E+00  6.0268E+00  7.5277E+00  6.1337E+00
  4.3248E-07  1.8562E+00  5.7169E+00  7.1290E+00  5.8282E+00
  5.0890E-07  1.9117E+00  5.4069E+00  6.7283E+00  5.5193E+00
  5.9882E-07  1.9689E+00  5.0965E+00  6.3244E+00  5.2063E+00
  7.0462E-07  2.0278E+00  4.7853E+00  5.9162E+00  4.8882E+00
  8.2912E-07  2.0885E+00  4.4732E+00  5.5020E+00  4.5641E+00
  9.7562E-07  2.1510E+00  4.1598E+00  5.0802E+00  4.2328E+00
  1.1480E-06  2.2312E+00  3.8154E+00  4.5836E+00  3.8428E+00
  1.3509E-06  2.3061E+00  3.4827E+00  4.1033E+00  3.4646E+00
  1.5895E-06  2.3720E+00  3.1684E+00  3.6542E+00  3.1096E+00
  1.8704E-06  2.4289E+00  2.8726E+00  3.2361E+00  2.7778E+00
  2.2009E-06  2.4773E+00  2.5942E+00  2.8472E+00  2.4678E+00
  2.5898E-06  2.5187E+00  2.3310E+00  2.4832E+00  2.1765E+00
  3.0474E-06  2.5506E+00  2.0871E+00  2.1519E+00  1.9094E+00
  3.5858E-06  2.5702E+00  1.8670E+00  1.8620E+00  1.6733E+00
  4.2194E-06  2.5746E+00  1.6754E+00  1.6227E+00  1.4747E+00
  4.9649E-06  2.5624E+00  1.5145E+00  1.4381E+00  1.3165E+00
  5.8422E-06  2.5426E+00  1.3695E+00  1.2784E+00  1.1775E+00
  6.8744E-06  2.5218E+00  1.2296E+00  1.1225E+00  1.0425E+00
  8.0891E-06  2.4973E+00  1.0994E+00  9.7940E-01  9.1794E-01
  9.5184E-06  2.4693E+00  9.7836E-01  8.4894E-01  8.0352E-01
  1.1200E-05  2.4363E+00  8.6886E-01  7.3415E-01  7.0177E-01
  1.3179E-05  2.3979E+00  7.7178E-01  6.3624E-01  6.1369E-01
  1.5508E-05  2.3553E+00  6.8490E-01  5.5171E-01  5.3655E-01
  1.8248E-05  2.3100E+00  6.0588E-01  4.7702E-01  4.6758E-01
  2.1472E-05  2.2631E+00  5.3294E-01  4.0955E-01  4.0467E-01
  2.5266E-05  2.2133E+00  4.6795E-01  3.5189E-01  3.4999E-01
  2.9731E-05  2.1611E+00  4.1042E-01  3.0301E-01  3.0286E-01
  3.4984E-05  2.1071E+00  3.5927E-01  2.6106E-01  2.6180E-01
  4.1165E-05  2.0521E+00  3.1331E-01  2.2439E-01  2.2550E-01
  4.8439E-05  1.9956E+00  2.7314E-01  1.9378E-01  1.9466E-01
  5.6998E-05  1.9381E+00  2.3789E-01  1.6787E-01  1.6828E-01
  6.7069E-05  1.8807E+00  2.0604E-01  1.4470E-01  1.4476E-01
  7.8919E-05  1.8230E+00  1.7807E-01  1.2487E-01  1.2460E-01
  9.2864E-05  1.7645E+00  1.5423E-01  1.0880E-01  1.0808E-01
  1.0927E-04  1.7064E+00  1.3332E-01  9.5087E-02  9.3981E-02
  1.2858E-04  1.6485E+00  1.1517E-01  8.3407E-02  8.2056E-02
  1.5130E-04  1.5911E+00  9.9503E-02  7.3537E-02  7.2050E-02
  1.7803E-04  1.5345E+00  8.5859E-02  6.5176E-02  6.3652E-02
  2.0949E-04  1.4787E+00  7.3826E-02  5.8669E-02  5.6633E-02
  2.4650E-04  1.4236E+00  6.3770E-02  5.3282E-02  5.0937E-02
  2.9006E-04  1.3693E+00  5.5705E-02  4.8715E-02  4.6259E-02
  3.4131E-04  1.3160E+00  5.0236E-02  4.4747E-02  4.2329E-02
  4.0162E-04  1.2639E+00  4.5651E-02  4.1262E-02  3.9003E-02
  4.7258E-04  1.2131E+00  4.1861E-02  3.8154E-02  3.6165E-02
  5.5608E-04  1.1635E+00  3.8562E-02  3.5404E-02  3.3665E-02
  6.5434E-04  1.1154E+00  3.5513E-02  3.3108E-02  3.1458E-02
  7.6995E-04  1.0687E+00  3.2621E-02  3.1212E-02  2.9459E-02
