 # x =   1.0000E-03
 #        q2        xglu      error+      error-       error
  5.0000E-01 -1.6406E+00  1.3729E+00  6.5460E-01  8.3436E-01
  6.3536E-01 -1.6994E+00  1.4220E+00  7.2988E-01  8.9078E-01
  8.0737E-01 -1.4418E+00  1.2065E+00  7.1501E-01  8.0293E-01
  1.0259E+00 -9.0161E-01  8.1468E-01  5.9428E-01  5.9600E-01
  1.3037E+00 -1.4110E-01  8.0095E-01  5.9909E-01  6.0067E-01
  1.6566E+00  7.2991E-01  7.9044E-01  6.0361E-01  6.0694E-01
  2.1051E+00  1.8591E+00  7.8841E-01  6.0462E-01  6.1109E-01
  2.6750E+00  2.7406E+00  7.8872E-01  6.0701E-01  6.1639E-01
  3.3992E+00  3.6904E+00  7.8934E-01  6.1017E-01  6.2271E-01
  4.3194E+00  4.6618E+00  7.9053E-01  6.1467E-01  6.2995E-01
  5.4888E+00  5.6481E+00  7.9237E-01  6.2008E-01  6.3794E-01
  6.9748E+00  6.6419E+00  7.9359E-01  6.2656E-01  6.4640E-01
  8.8630E+00  7.6377E+00  7.9430E-01  6.3591E-01  6.5522E-01
  1.1262E+01  8.6316E+00  7.9447E-01  6.4849E-01  6.6423E-01
  1.4311E+01  9.6160E+00  7.9424E-01  6.6179E-01  6.7336E-01
  1.8186E+01  1.0589E+01  7.9348E-01  6.7587E-01  6.8236E-01
  2.3109E+01  1.1653E+01  7.9292E-01  6.8791E-01  6.9051E-01
  2.9365E+01  1.2497E+01  7.8898E-01  6.9993E-01  6.9638E-01
  3.7315E+01  1.3368E+01  7.8689E-01  7.1134E-01  7.0259E-01
  4.7417E+01  1.4220E+01  7.8568E-01  7.2169E-01  7.0848E-01
  6.0254E+01  1.5060E+01  7.8512E-01  7.3123E-01  7.1413E-01
  7.6566E+01  1.5887E+01  7.8425E-01  7.4188E-01  7.2009E-01
  9.7294E+01  1.6702E+01  7.8311E-01  7.5290E-01  7.2599E-01
  1.2363E+02  1.7505E+01  7.8117E-01  7.6358E-01  7.3118E-01
