 # q =   1.0000E+01
 #         x        xglu      error+      error-       error
  1.0000E-07  9.8871E+00  1.7245E+02  2.7895E+02  2.0143E+02
  1.1767E-07  1.0633E+01  1.6795E+02  2.6695E+02  1.9431E+02
  1.3846E-07  1.1435E+01  1.6341E+02  2.5508E+02  1.8724E+02
  1.6293E-07  1.2298E+01  1.5880E+02  2.4333E+02  1.8021E+02
  1.9171E-07  1.3225E+01  1.5412E+02  2.3173E+02  1.7322E+02
  2.2559E-07  1.4223E+01  1.4935E+02  2.2029E+02  1.6626E+02
  2.6545E-07  1.5296E+01  1.4448E+02  2.0902E+02  1.5933E+02
  3.1235E-07  1.6449E+01  1.3947E+02  1.9793E+02  1.5242E+02
  3.6754E-07  1.7690E+01  1.3433E+02  1.8704E+02  1.4553E+02
  4.3248E-07  1.9025E+01  1.2902E+02  1.7634E+02  1.3863E+02
  5.0890E-07  2.0460E+01  1.2352E+02  1.6584E+02  1.3170E+02
  5.9882E-07  2.2003E+01  1.1781E+02  1.5551E+02  1.2473E+02
  7.0462E-07  2.3663E+01  1.1187E+02  1.4534E+02  1.1766E+02
  8.2912E-07  2.5448E+01  1.0566E+02  1.3525E+02  1.1045E+02
  9.7562E-07  2.7367E+01  9.9152E+01  1.2517E+02  1.0302E+02
  1.1480E-06  3.0015E+01  9.1127E+01  1.1315E+02  9.3725E+01
  1.3509E-06  3.2560E+01  8.3264E+01  1.0149E+02  8.4633E+01
  1.5895E-06  3.4867E+01  7.5835E+01  9.0582E+01  7.6094E+01
  1.8704E-06  3.6937E+01  6.8839E+01  8.0419E+01  6.8110E+01
  2.2009E-06  3.8784E+01  6.2254E+01  7.0960E+01  6.0646E+01
  2.5898E-06  4.0442E+01  5.6028E+01  6.2098E+01  5.3629E+01
  3.0474E-06  4.1851E+01  5.0253E+01  5.4026E+01  4.7193E+01
  3.5858E-06  4.2943E+01  4.5037E+01  4.6956E+01  4.1493E+01
  4.2194E-06  4.3643E+01  4.0492E+01  4.1103E+01  3.6689E+01
  4.9649E-06  4.3918E+01  3.6667E+01  3.6559E+01  3.2847E+01
  5.8422E-06  4.3993E+01  3.3215E+01  3.2619E+01  2.9465E+01
  6.8744E-06  4.4029E+01  2.9884E+01  2.8774E+01  2.6182E+01
  8.0891E-06  4.3958E+01  2.6782E+01  2.5240E+01  2.3149E+01
  9.5184E-06  4.3784E+01  2.3900E+01  2.2008E+01  2.0361E+01
  1.1200E-05  4.3474E+01  2.1290E+01  1.9157E+01  1.7877E+01
  1.3179E-05  4.3015E+01  1.8970E+01  1.6717E+01  1.5720E+01
  1.5508E-05  4.2439E+01  1.6890E+01  1.4602E+01  1.3827E+01
  1.8248E-05  4.1782E+01  1.4999E+01  1.2725E+01  1.2132E+01
  2.1472E-05  4.1072E+01  1.3253E+01  1.1021E+01  1.0583E+01
  2.5266E-05  4.0279E+01  1.1696E+01  9.5564E+00  9.2323E+00
  2.9731E-05  3.9410E+01  1.0316E+01  8.3078E+00  8.0640E+00
  3.4984E-05  3.8485E+01  9.0824E+00  7.2283E+00  7.0426E+00
  4.1165E-05  3.7521E+01  7.9739E+00  6.2771E+00  6.1360E+00
  4.8439E-05  3.6507E+01  7.0035E+00  5.4741E+00  5.3609E+00
  5.6998E-05  3.5457E+01  6.1491E+00  4.7908E+00  4.6935E+00
  6.7069E-05  3.4396E+01  5.3740E+00  4.1800E+00  4.0956E+00
  7.8919E-05  3.3316E+01  4.6905E+00  3.6524E+00  3.5787E+00
  9.2864E-05  3.2207E+01  4.1085E+00  3.2159E+00  3.1498E+00
  1.0927E-04  3.1091E+01  3.5961E+00  2.8374E+00  2.7788E+00
  1.2858E-04  2.9973E+01  3.1474E+00  2.5102E+00  2.4591E+00
  1.5130E-04  2.8854E+01  2.7566E+00  2.2283E+00  2.1846E+00
  1.7803E-04  2.7742E+01  2.4156E+00  1.9836E+00  1.9478E+00
  2.0949E-04  2.6641E+01  2.1180E+00  1.7698E+00  1.7429E+00
  2.4650E-04  2.5546E+01  1.8732E+00  1.5881E+00  1.5700E+00
  2.9006E-04  2.4457E+01  1.6732E+00  1.4329E+00  1.4227E+00
  3.4131E-04  2.3382E+01  1.4965E+00  1.2978E+00  1.2944E+00
  4.0162E-04  2.2326E+01  1.3488E+00  1.1875E+00  1.1809E+00
  4.7258E-04  2.1289E+01  1.2258E+00  1.0891E+00  1.0803E+00
  5.5608E-04  2.0271E+01  1.1129E+00  1.0007E+00  9.9003E-01
  6.5434E-04  1.9276E+01  1.0101E+00  9.2176E-01  9.0843E-01
  7.6995E-04  1.8304E+01  9.1609E-01  8.5218E-01  8.3393E-01
  9.0600E-04  1.7357E+01  8.3094E-01  7.8944E-01  7.6553E-01
  1.0661E-03  1.6436E+01  7.5308E-01  7.3232E-01  7.0237E-01
  1.2544E-03  1.5542E+01  6.8060E-01  6.7971E-01  6.4356E-01
  1.4761E-03  1.4674E+01  6.1300E-01  6.3045E-01  5.8860E-01
  1.7369E-03  1.3835E+01  5.5059E-01  5.8412E-01  5.3746E-01
  2.0438E-03  1.3024E+01  4.9392E-01  5.4086E-01  4.9046E-01
  2.4049E-03  1.2241E+01  4.4282E-01  4.9979E-01  4.4715E-01
  2.8299E-03  1.1487E+01  3.9673E-01  4.6002E-01  4.0693E-01
  3.3299E-03  1.0760E+01  3.5552E-01  4.2180E-01  3.6976E-01
  3.9183E-03  1.0062E+01  3.1921E-01  3.8589E-01  3.3577E-01
  4.6106E-03  9.3927E+00  2.8765E-01  3.5242E-01  3.0491E-01
  5.4253E-03  8.7510E+00  2.6063E-01  3.2084E-01  2.7675E-01
  6.3839E-03  8.1362E+00  2.3667E-01  2.9159E-01  2.5115E-01
  7.5118E-03  7.5484E+00  2.1491E-01  2.6468E-01  2.2788E-01
  8.8391E-03  6.9863E+00  1.9489E-01  2.4085E-01  2.0664E-01
