 # x =   1.0000E-03
 #        q2       xsbar      error+      error-       error
  5.0000E-01  4.9493E-02  2.7816E-02  2.2419E-02  2.4609E-02
  6.3536E-01  6.4147E-02  3.3845E-02  2.7392E-02  3.0010E-02
  8.0737E-01  8.4757E-02  3.9084E-02  3.1790E-02  3.4759E-02
  1.0259E+00  1.1513E-01  4.0514E-02  3.2761E-02  3.5981E-02
  1.3037E+00  1.5123E-01  3.9343E-02  3.1494E-02  3.4796E-02
  1.6566E+00  1.8769E-01  3.8485E-02  3.0880E-02  3.4043E-02
  2.1051E+00  2.2469E-01  3.7864E-02  3.0700E-02  3.3606E-02
  2.6750E+00  2.6271E-01  3.7498E-02  3.0792E-02  3.3438E-02
  3.3992E+00  3.0050E-01  3.7314E-02  3.1057E-02  3.3452E-02
  4.3194E+00  3.3814E-01  3.7271E-02  3.1447E-02  3.3606E-02
  5.4888E+00  3.7562E-01  3.7327E-02  3.1944E-02  3.3869E-02
  6.9748E+00  4.1291E-01  3.7482E-02  3.2496E-02  3.4212E-02
  8.8630E+00  4.4999E-01  3.7697E-02  3.3113E-02  3.4619E-02
  1.1262E+01  4.8686E-01  3.7982E-02  3.3770E-02  3.5081E-02
  1.4311E+01  5.2346E-01  3.8311E-02  3.4449E-02  3.5577E-02
  1.8186E+01  5.5981E-01  3.8665E-02  3.5143E-02  3.6095E-02
  2.3109E+01  5.9574E-01  3.9026E-02  3.5830E-02  3.6616E-02
  2.9365E+01  6.3188E-01  3.9435E-02  3.6541E-02  3.7168E-02
  3.7315E+01  6.6760E-01  3.9894E-02  3.7237E-02  3.7722E-02
  4.7417E+01  7.0298E-01  4.0389E-02  3.7924E-02  3.8280E-02
  6.0254E+01  7.3803E-01  4.0888E-02  3.8602E-02  3.8839E-02
  7.6566E+01  7.7275E-01  4.1377E-02  3.9274E-02  3.9392E-02
  9.7294E+01  8.0712E-01  4.1858E-02  3.9937E-02  3.9939E-02
  1.2363E+02  8.4115E-01  4.2343E-02  4.0580E-02  4.0480E-02
  1.5710E+02  8.7484E-01  4.2821E-02  4.1210E-02  4.1013E-02
  1.9964E+02  9.0818E-01  4.3273E-02  4.1843E-02  4.1535E-02
  2.5368E+02  9.4117E-01  4.3728E-02  4.2445E-02  4.2046E-02
  3.2236E+02  9.7382E-01  4.4216E-02  4.2977E-02  4.2542E-02
  4.0963E+02  1.0061E+00  4.4687E-02  4.3518E-02  4.3034E-02
  5.2053E+02  1.0381E+00  4.5110E-02  4.4127E-02  4.3527E-02
  6.6145E+02  1.0698E+00  4.5524E-02  4.4720E-02  4.4009E-02
  8.4051E+02  1.1010E+00  4.5952E-02  4.5253E-02  4.4473E-02
  1.0681E+03  1.1320E+00  4.6355E-02  4.5787E-02  4.4923E-02
  1.3572E+03  1.1626E+00  4.6715E-02  4.6346E-02  4.5363E-02
  1.7246E+03  1.1929E+00  4.7045E-02  4.6898E-02  4.5783E-02
  2.1915E+03  1.2229E+00  4.7343E-02  4.7415E-02  4.6172E-02
  2.7848E+03  1.2525E+00  4.7614E-02  4.7912E-02  4.6538E-02
  3.5388E+03  1.2819E+00  4.7894E-02  4.8406E-02  4.6913E-02
  4.4968E+03  1.3109E+00  4.8181E-02  4.8895E-02  4.7294E-02
