 # q =   1.0000E+01
 #         x       xsbar      error+      error-       error
  1.0000E-07  1.0099E+00  8.2624E+00  1.0659E+01  8.2867E+00
  1.1767E-07  1.0504E+00  7.9716E+00  1.0247E+01  8.0031E+00
  1.3846E-07  1.0925E+00  7.6819E+00  9.8380E+00  7.7202E+00
  1.6293E-07  1.1364E+00  7.3929E+00  9.4322E+00  7.4379E+00
  1.9171E-07  1.1819E+00  7.1042E+00  9.0294E+00  7.1559E+00
  2.2559E-07  1.2293E+00  6.8155E+00  8.6296E+00  6.8737E+00
  2.6545E-07  1.2786E+00  6.5264E+00  8.2324E+00  6.5911E+00
  3.1235E-07  1.3299E+00  6.2366E+00  7.8377E+00  6.3074E+00
  3.6754E-07  1.3832E+00  5.9457E+00  7.4449E+00  6.0221E+00
  4.3248E-07  1.4387E+00  5.6533E+00  7.0535E+00  5.7345E+00
  5.0890E-07  1.4964E+00  5.3590E+00  6.6624E+00  5.4438E+00
  5.9882E-07  1.5564E+00  5.0624E+00  6.2704E+00  5.1487E+00
  7.0462E-07  1.6188E+00  4.7631E+00  5.8758E+00  4.8482E+00
  8.2912E-07  1.6838E+00  4.4608E+00  5.4764E+00  4.5405E+00
  9.7562E-07  1.7513E+00  4.1549E+00  5.0693E+00  4.2237E+00
  1.1480E-06  1.8390E+00  3.8118E+00  4.5752E+00  3.8361E+00
  1.3509E-06  1.9215E+00  3.4794E+00  4.0954E+00  3.4584E+00
  1.5895E-06  1.9950E+00  3.1655E+00  3.6467E+00  3.1039E+00
  1.8704E-06  2.0592E+00  2.8700E+00  3.2292E+00  2.7726E+00
  2.2009E-06  2.1149E+00  2.5920E+00  2.8410E+00  2.4631E+00
  2.5898E-06  2.1635E+00  2.3292E+00  2.4776E+00  2.1724E+00
  3.0474E-06  2.2024E+00  2.0857E+00  2.1471E+00  1.9060E+00
  3.5858E-06  2.2289E+00  1.8660E+00  1.8579E+00  1.6705E+00
  4.2194E-06  2.2400E+00  1.6749E+00  1.6193E+00  1.4726E+00
  4.9649E-06  2.2343E+00  1.5144E+00  1.4352E+00  1.3149E+00
  5.8422E-06  2.2210E+00  1.3697E+00  1.2760E+00  1.1764E+00
  6.8744E-06  2.2066E+00  1.2303E+00  1.1208E+00  1.0420E+00
  8.0891E-06  2.1883E+00  1.1004E+00  9.7845E-01  9.1812E-01
  9.5184E-06  2.1663E+00  9.7993E-01  8.4872E-01  8.0441E-01
  1.1200E-05  2.1394E+00  8.7097E-01  7.3472E-01  7.0342E-01
  1.3179E-05  2.1068E+00  7.7445E-01  6.3758E-01  6.1610E-01
  1.5508E-05  2.0700E+00  6.8820E-01  5.5380E-01  5.3974E-01
  1.8248E-05  2.0303E+00  6.0985E-01  4.7988E-01  4.7160E-01
  2.1472E-05  1.9890E+00  5.3761E-01  4.1325E-01  4.0962E-01
  2.5266E-05  1.9447E+00  4.7330E-01  3.5639E-01  3.5587E-01
  2.9731E-05  1.8978E+00  4.1644E-01  3.0832E-01  3.0969E-01
  3.4984E-05  1.8490E+00  3.6614E-01  2.6717E-01  2.6960E-01
  4.1165E-05  1.7991E+00  3.2111E-01  2.3125E-01  2.3432E-01
  4.8439E-05  1.7475E+00  2.8191E-01  2.0121E-01  2.0446E-01
  5.6998E-05  1.6949E+00  2.4758E-01  1.7593E-01  1.7903E-01
  6.7069E-05  1.6422E+00  2.1665E-01  1.5366E-01  1.5657E-01
  7.8919E-05  1.5891E+00  1.8955E-01  1.3480E-01  1.3748E-01
  9.2864E-05  1.5351E+00  1.6671E-01  1.1944E-01  1.2186E-01
  1.0927E-04  1.4812E+00  1.4679E-01  1.0641E-01  1.0860E-01
  1.2858E-04  1.4275E+00  1.2957E-01  9.5368E-02  9.7412E-02
  1.5130E-04  1.3742E+00  1.1479E-01  8.6045E-02  8.8005E-02
  1.7803E-04  1.3214E+00  1.0191E-01  7.8221E-02  8.0065E-02
  2.0949E-04  1.2693E+00  9.0583E-02  7.2122E-02  7.3357E-02
  2.4650E-04  1.2177E+00  8.1098E-02  6.6954E-02  6.7750E-02
  2.9006E-04  1.1667E+00  7.3214E-02  6.2480E-02  6.2964E-02
  3.4131E-04  1.1165E+00  6.6581E-02  5.8508E-02  5.8781E-02
  4.0162E-04  1.0673E+00  6.0990E-02  5.4928E-02  5.5100E-02
  4.7258E-04  1.0191E+00  5.6347E-02  5.1640E-02  5.1808E-02
  5.5608E-04  9.7187E-01  5.2436E-02  4.8602E-02  4.8798E-02
  6.5434E-04  9.2576E-01  4.9194E-02  4.5861E-02  4.6081E-02
  7.6995E-04  8.8079E-01  4.6219E-02  4.3391E-02  4.3589E-02
  9.0600E-04  8.3701E-01  4.3473E-02  4.1211E-02  4.1300E-02
  1.0661E-03  7.9445E-01  4.0949E-02  3.9278E-02  3.9196E-02
  1.2544E-03  7.5311E-01  3.8667E-02  3.7539E-02  3.7251E-02
  1.4761E-03  7.1300E-01  3.6584E-02  3.5967E-02  3.5450E-02
  1.7369E-03  6.7414E-01  3.4752E-02  3.4562E-02  3.3792E-02
  2.0438E-03  6.3652E-01  3.3068E-02  3.3336E-02  3.2285E-02
  2.4049E-03  6.0016E-01  3.1521E-02  3.2259E-02  3.0911E-02
  2.8299E-03  5.6506E-01  3.0085E-02  3.1303E-02  2.9648E-02
  3.3299E-03  5.3118E-01  2.8740E-02  3.0490E-02  2.8490E-02
  3.9183E-03  4.9849E-01  2.7470E-02  2.9832E-02  2.7428E-02
  4.6106E-03  4.6698E-01  2.6274E-02  2.9317E-02  2.6460E-02
  5.4253E-03  4.3667E-01  2.5135E-02  2.8912E-02  2.5568E-02
  6.3839E-03  4.0748E-01  2.4019E-02  2.8571E-02  2.4721E-02
  7.5118E-03  3.7940E-01  2.2920E-02  2.8268E-02  2.3912E-02
  8.8391E-03  3.5238E-01  2.1828E-02  2.7922E-02  2.3108E-02
  1.0401E-02  3.2639E-01  2.0728E-02  2.7474E-02  2.2284E-02
  1.2239E-02  3.0142E-01  1.9607E-02  2.6868E-02  2.1416E-02
  1.4401E-02  2.7740E-01  1.8474E-02  2.5996E-02  2.0467E-02
  1.6946E-02  2.5433E-01  1.7338E-02  2.4809E-02  1.9420E-02
  1.9940E-02  2.3216E-01  1.6197E-02  2.3296E-02  1.8266E-02
  2.3463E-02  2.1088E-01  1.5049E-02  2.1416E-02  1.6985E-02
  2.7609E-02  1.9049E-01  1.3913E-02  1.9252E-02  1.5611E-02
  3.2487E-02  1.7096E-01  1.2809E-02  1.6933E-02  1.4188E-02
  3.8227E-02  1.5229E-01  1.1747E-02  1.4553E-02  1.2745E-02
  4.4982E-02  1.3451E-01  1.0736E-02  1.2465E-02  1.1392E-02
  5.2930E-02  1.1762E-01  9.7967E-03  1.0774E-02  1.0146E-02
  6.2282E-02  1.0166E-01  8.9394E-03  9.6076E-03  9.0653E-03
  7.3287E-02  8.6644E-02  8.1756E-03  8.8489E-03  8.1378E-03
  8.6236E-02  7.2631E-02  7.4955E-03  8.1952E-03  7.3375E-03
  1.0147E-01  5.9657E-02  6.8048E-03  7.5583E-03  6.6289E-03
  1.1940E-01  4.7784E-02  6.0189E-03  6.9613E-03  5.9661E-03
  1.4050E-01  3.7105E-02  5.2130E-03  6.2786E-03  5.3102E-03
  1.6533E-01  2.7705E-02  4.3960E-03  5.4645E-03  4.6207E-03
  1.9454E-01  1.9688E-02  3.6739E-03  4.5081E-03  3.8685E-03
  2.2891E-01  1.3141E-02  2.9638E-03  3.4573E-03  3.0587E-03
  2.6936E-01  8.0992E-03  2.2204E-03  2.3952E-03  2.2339E-03
  3.1695E-01  4.5114E-03  1.4967E-03  1.5240E-03  1.4925E-03
  3.7296E-01  2.2080E-03  8.7090E-04  1.1253E-03  9.4978E-04
  4.3885E-01  9.1240E-04  4.1705E-04  1.0994E-03  6.7444E-04
  5.1640E-01  2.9811E-04  1.5793E-04  1.1102E-03  5.7957E-04
  6.0764E-01  6.5800E-05  4.5623E-05  1.0206E-03  5.1297E-04
  7.1501E-01  5.4755E-06  7.5267E-06  8.0478E-04  4.0243E-04
  8.4134E-01 -3.6464E-07  3.2169E-07  4.4930E-04  2.2465E-04
  9.9000E-01  3.5496E-07  6.3866E-08  1.7223E-05  8.6219E-06
