 # x =   1.0000E-03
 #        q2        xstr      error+      error-       error
  5.0000E-01  4.7987E-02  2.7686E-02  2.3972E-02  2.5029E-02
  6.3536E-01  6.2308E-02  3.3717E-02  2.9324E-02  3.0555E-02
  8.0737E-01  8.2627E-02  3.8992E-02  3.4082E-02  3.5449E-02
  1.0259E+00  1.1294E-01  4.0469E-02  3.5041E-02  3.6703E-02
  1.3037E+00  1.4913E-01  3.9308E-02  3.3436E-02  3.5423E-02
  1.6566E+00  1.8566E-01  3.8457E-02  3.2527E-02  3.4588E-02
  2.1051E+00  2.2272E-01  3.7847E-02  3.2083E-02  3.4082E-02
  2.6750E+00  2.6078E-01  3.7490E-02  3.1962E-02  3.3858E-02
  3.3992E+00  2.9861E-01  3.7313E-02  3.2049E-02  3.3825E-02
  4.3194E+00  3.3628E-01  3.7278E-02  3.2293E-02  3.3938E-02
  5.4888E+00  3.7379E-01  3.7339E-02  3.2669E-02  3.4167E-02
  6.9748E+00  4.1109E-01  3.7499E-02  3.3121E-02  3.4481E-02
  8.8630E+00  4.4819E-01  3.7719E-02  3.3656E-02  3.4864E-02
  1.1262E+01  4.8508E-01  3.8009E-02  3.4245E-02  3.5306E-02
  1.4311E+01  5.2170E-01  3.8344E-02  3.4868E-02  3.5786E-02
  1.8186E+01  5.5806E-01  3.8703E-02  3.5515E-02  3.6289E-02
  2.3109E+01  5.9401E-01  3.9069E-02  3.6163E-02  3.6797E-02
  2.9365E+01  6.3016E-01  3.9496E-02  3.6842E-02  3.7340E-02
  3.7315E+01  6.6588E-01  3.9975E-02  3.7510E-02  3.7884E-02
  4.7417E+01  7.0128E-01  4.0466E-02  3.8174E-02  3.8435E-02
  6.0254E+01  7.3634E-01  4.0962E-02  3.8830E-02  3.8988E-02
  7.6566E+01  7.7106E-01  4.1448E-02  3.9485E-02  3.9535E-02
  9.7294E+01  8.0545E-01  4.1929E-02  4.0132E-02  4.0076E-02
  1.2363E+02  8.3948E-01  4.2416E-02  4.0761E-02  4.0613E-02
  1.5710E+02  8.7318E-01  4.2893E-02  4.1381E-02  4.1142E-02
  1.9964E+02  9.0652E-01  4.3341E-02  4.2007E-02  4.1660E-02
  2.5368E+02  9.3953E-01  4.3793E-02  4.2602E-02  4.2167E-02
  3.2236E+02  9.7218E-01  4.4279E-02  4.3127E-02  4.2660E-02
  4.0963E+02  1.0045E+00  4.4749E-02  4.3661E-02  4.3148E-02
  5.2053E+02  1.0365E+00  4.5170E-02  4.4259E-02  4.3639E-02
  6.6145E+02  1.0681E+00  4.5582E-02  4.4839E-02  4.4119E-02
  8.4051E+02  1.0994E+00  4.6015E-02  4.5355E-02  4.4580E-02
  1.0681E+03  1.1304E+00  4.6420E-02  4.5882E-02  4.5027E-02
  1.3572E+03  1.1610E+00  4.6775E-02  4.6433E-02  4.5462E-02
  1.7246E+03  1.1913E+00  4.7100E-02  4.6976E-02  4.5877E-02
  2.1915E+03  1.2213E+00  4.7399E-02  4.7487E-02  4.6263E-02
  2.7848E+03  1.2509E+00  4.7675E-02  4.7978E-02  4.6629E-02
  3.5388E+03  1.2803E+00  4.7961E-02  4.8464E-02  4.7001E-02
  4.4968E+03  1.3093E+00  4.8257E-02  4.8946E-02  4.7380E-02
  5.7141E+03  1.3380E+00  4.8556E-02  4.9419E-02  4.7755E-02
  7.2611E+03  1.3664E+00  4.8865E-02  4.9882E-02  4.8125E-02
  9.2268E+03  1.3944E+00  4.9169E-02  5.0332E-02  4.8486E-02
  1.1725E+04  1.4222E+00  4.9435E-02  5.0776E-02  4.8828E-02
  1.4899E+04  1.4497E+00  4.9671E-02  5.1212E-02  4.9153E-02
  1.8932E+04  1.4768E+00  4.9951E-02  5.1577E-02  4.9464E-02
  2.4058E+04  1.5036E+00  5.0320E-02  5.1828E-02  4.9759E-02
  3.0571E+04  1.5302E+00  5.0676E-02  5.2065E-02  5.0041E-02
  3.8847E+04  1.5564E+00  5.0932E-02  5.2374E-02  5.0312E-02
  4.9364E+04  1.5824E+00  5.1125E-02  5.2724E-02  5.0573E-02
  6.2728E+04  1.6082E+00  5.1264E-02  5.3127E-02  5.0833E-02
  7.9710E+04  1.6336E+00  5.1333E-02  5.3601E-02  5.1091E-02
  1.0129E+05  1.6588E+00  5.1447E-02  5.4022E-02  5.1348E-02
  1.2871E+05  1.6837E+00  5.1679E-02  5.4314E-02  5.1603E-02
  1.6355E+05  1.7083E+00  5.1955E-02  5.4553E-02  5.1854E-02
  2.0783E+05  1.7327E+00  5.2203E-02  5.4804E-02  5.2094E-02
  2.6410E+05  1.7568E+00  5.2441E-02  5.5052E-02  5.2324E-02
  3.3559E+05  1.7806E+00  5.2623E-02  5.5332E-02  5.2544E-02
  4.2645E+05  1.8042E+00  5.2712E-02  5.5676E-02  5.2751E-02
  5.4190E+05  1.8276E+00  5.2798E-02  5.6010E-02  5.2951E-02
  6.8860E+05  1.8507E+00  5.2972E-02  5.6255E-02  5.3152E-02
  8.7502E+05  1.8736E+00  5.3182E-02  5.6456E-02  5.3349E-02
  1.1119E+06  1.8962E+00  5.3344E-02  5.6696E-02  5.3541E-02
  1.4129E+06  1.9186E+00  5.3451E-02  5.6988E-02  5.3731E-02
  1.7954E+06  1.9408E+00  5.3577E-02  5.7226E-02  5.3903E-02
  2.2815E+06  1.9627E+00  5.3783E-02  5.7306E-02  5.4039E-02
  2.8992E+06  1.9843E+00  5.3996E-02  5.7351E-02  5.4162E-02
  3.6840E+06  2.0058E+00  5.4092E-02  5.7564E-02  5.4307E-02
  4.6814E+06  2.0271E+00  5.4088E-02  5.7912E-02  5.4469E-02
  5.9487E+06  2.0482E+00  5.4126E-02  5.8202E-02  5.4626E-02
  7.5592E+06  2.0690E+00  5.4235E-02  5.8395E-02  5.4775E-02
  9.6056E+06  2.0897E+00  5.4371E-02  5.8549E-02  5.4919E-02
  1.2206E+07  2.1101E+00  5.4524E-02  5.8679E-02  5.5054E-02
  1.5511E+07  2.1303E+00  5.4693E-02  5.8785E-02  5.5182E-02
  1.9710E+07  2.1502E+00  5.4849E-02  5.8904E-02  5.5310E-02
  2.5046E+07  2.1700E+00  5.4999E-02  5.9031E-02  5.5437E-02
  3.1826E+07  2.1897E+00  5.5118E-02  5.9176E-02  5.5559E-02
  4.0442E+07  2.2091E+00  5.5169E-02  5.9360E-02  5.5671E-02
  5.1390E+07  2.2283E+00  5.5198E-02  5.9551E-02  5.5776E-02
  6.5303E+07  2.2474E+00  5.5276E-02  5.9680E-02  5.5873E-02
  8.2982E+07  2.2662E+00  5.5389E-02  5.9760E-02  5.5963E-02
  1.0545E+08  2.2849E+00  5.5469E-02  5.9875E-02  5.6055E-02
  1.3399E+08  2.3034E+00  5.5492E-02  6.0056E-02  5.6150E-02
  1.7027E+08  2.3218E+00  5.5507E-02  6.0239E-02  5.6243E-02
  2.1637E+08  2.3399E+00  5.5565E-02  6.0363E-02  5.6329E-02
  2.7494E+08  2.3579E+00  5.5642E-02  6.0456E-02  5.6410E-02
  3.4937E+08  2.3757E+00  5.5684E-02  6.0570E-02  5.6480E-02
  4.4396E+08  2.3934E+00  5.5678E-02  6.0715E-02  5.6535E-02
  5.6414E+08  2.4108E+00  5.5697E-02  6.0848E-02  5.6598E-02
  7.1687E+08  2.4281E+00  5.5774E-02  6.0951E-02  5.6682E-02
  9.1094E+08  2.4453E+00  5.5891E-02  6.1033E-02  5.6780E-02
  1.1576E+09  2.4625E+00  5.6010E-02  6.1113E-02  5.6878E-02
  1.4709E+09  2.4800E+00  5.6112E-02  6.1199E-02  5.6970E-02
  1.8692E+09  2.4976E+00  5.6214E-02  6.1285E-02  5.7060E-02
  2.3752E+09  2.5153E+00  5.6315E-02  6.1369E-02  5.7150E-02
  3.0182E+09  2.5332E+00  5.6415E-02  6.1452E-02  5.7238E-02
  3.8353E+09  2.5511E+00  5.6514E-02  6.1534E-02  5.7326E-02
  4.8736E+09  2.5692E+00  5.6613E-02  6.1616E-02  5.7413E-02
  6.1930E+09  2.5875E+00  5.6711E-02  6.1696E-02  5.7498E-02
  7.8695E+09  2.6058E+00  5.6808E-02  6.1775E-02  5.7583E-02
  1.0000E+10  2.6243E+00  5.6905E-02  6.1852E-02  5.7667E-02
