 # q =   1.0000E+01
 #         x        xstr      error+      error-       error
  1.0000E-07  1.0095E+00  8.2624E+00  1.0659E+01  8.2868E+00
  1.1767E-07  1.0500E+00  7.9716E+00  1.0247E+01  8.0031E+00
  1.3846E-07  1.0921E+00  7.6819E+00  9.8382E+00  7.7203E+00
  1.6293E-07  1.1359E+00  7.3929E+00  9.4324E+00  7.4380E+00
  1.9171E-07  1.1815E+00  7.1042E+00  9.0297E+00  7.1560E+00
  2.2559E-07  1.2289E+00  6.8155E+00  8.6298E+00  6.8738E+00
  2.6545E-07  1.2782E+00  6.5264E+00  8.2327E+00  6.5912E+00
  3.1235E-07  1.3294E+00  6.2366E+00  7.8380E+00  6.3075E+00
  3.6754E-07  1.3828E+00  5.9457E+00  7.4453E+00  6.0223E+00
  4.3248E-07  1.4382E+00  5.6532E+00  7.0538E+00  5.7347E+00
  5.0890E-07  1.4959E+00  5.3589E+00  6.6627E+00  5.4439E+00
  5.9882E-07  1.5559E+00  5.0623E+00  6.2708E+00  5.1489E+00
  7.0462E-07  1.6183E+00  4.7631E+00  5.8762E+00  4.8483E+00
  8.2912E-07  1.6832E+00  4.4607E+00  5.4769E+00  4.5406E+00
  9.7562E-07  1.7507E+00  4.1549E+00  5.0697E+00  4.2239E+00
  1.1480E-06  1.8384E+00  3.8117E+00  4.5757E+00  3.8363E+00
  1.3509E-06  1.9209E+00  3.4793E+00  4.0959E+00  3.4586E+00
  1.5895E-06  1.9943E+00  3.1654E+00  3.6472E+00  3.1040E+00
  1.8704E-06  2.0586E+00  2.8699E+00  3.2297E+00  2.7727E+00
  2.2009E-06  2.1143E+00  2.5919E+00  2.8415E+00  2.4633E+00
  2.5898E-06  2.1628E+00  2.3292E+00  2.4781E+00  2.1725E+00
  3.0474E-06  2.2017E+00  2.0857E+00  2.1476E+00  1.9062E+00
  3.5858E-06  2.2282E+00  1.8660E+00  1.8584E+00  1.6707E+00
  4.2194E-06  2.2393E+00  1.6748E+00  1.6198E+00  1.4728E+00
  4.9649E-06  2.2336E+00  1.5143E+00  1.4357E+00  1.3151E+00
  5.8422E-06  2.2203E+00  1.3697E+00  1.2765E+00  1.1766E+00
  6.8744E-06  2.2058E+00  1.2302E+00  1.1213E+00  1.0422E+00
  8.0891E-06  2.1875E+00  1.1004E+00  9.7895E-01  9.1830E-01
  9.5184E-06  2.1656E+00  9.7989E-01  8.4920E-01  8.0459E-01
  1.1200E-05  2.1386E+00  8.7093E-01  7.3518E-01  7.0359E-01
  1.3179E-05  2.1060E+00  7.7440E-01  6.3802E-01  6.1626E-01
  1.5508E-05  2.0691E+00  6.8815E-01  5.5421E-01  5.3989E-01
  1.8248E-05  2.0295E+00  6.0979E-01  4.8026E-01  4.7174E-01
  2.1472E-05  1.9881E+00  5.3755E-01  4.1358E-01  4.0974E-01
  2.5266E-05  1.9438E+00  4.7325E-01  3.5667E-01  3.5599E-01
  2.9731E-05  1.8968E+00  4.1639E-01  3.0854E-01  3.0979E-01
  3.4984E-05  1.8481E+00  3.6611E-01  2.6731E-01  2.6968E-01
  4.1165E-05  1.7981E+00  3.2108E-01  2.3135E-01  2.3438E-01
  4.8439E-05  1.7465E+00  2.8188E-01  2.0132E-01  2.0450E-01
  5.6998E-05  1.6938E+00  2.4754E-01  1.7603E-01  1.7906E-01
  6.7069E-05  1.6411E+00  2.1649E-01  1.5376E-01  1.5657E-01
  7.8919E-05  1.5880E+00  1.8927E-01  1.3490E-01  1.3746E-01
  9.2864E-05  1.5340E+00  1.6634E-01  1.1954E-01  1.2183E-01
  1.0927E-04  1.4801E+00  1.4636E-01  1.0651E-01  1.0856E-01
  1.2858E-04  1.4264E+00  1.2911E-01  9.5462E-02  9.7358E-02
  1.5130E-04  1.3730E+00  1.1431E-01  8.6137E-02  8.7948E-02
  1.7803E-04  1.3201E+00  1.0142E-01  7.8290E-02  8.0011E-02
  2.0949E-04  1.2680E+00  9.0107E-02  7.2195E-02  7.3310E-02
  2.4650E-04  1.2164E+00  8.0667E-02  6.7041E-02  6.7718E-02
  2.9006E-04  1.1654E+00  7.2862E-02  6.2567E-02  6.2953E-02
  3.4131E-04  1.1151E+00  6.6328E-02  5.8594E-02  5.8798E-02
  4.0162E-04  1.0659E+00  6.0833E-02  5.5012E-02  5.5145E-02
  4.7258E-04  1.0176E+00  5.6267E-02  5.1724E-02  5.1882E-02
  5.5608E-04  9.7033E-01  5.2500E-02  4.8706E-02  4.8901E-02
  6.5434E-04  9.2419E-01  4.9276E-02  4.6003E-02  4.6207E-02
  7.6995E-04  8.7917E-01  4.6298E-02  4.3586E-02  4.3730E-02
  9.0600E-04  8.3535E-01  4.3547E-02  4.1421E-02  4.1444E-02
  1.0661E-03  7.9276E-01  4.1038E-02  3.9448E-02  3.9324E-02
  1.2544E-03  7.5139E-01  3.8764E-02  3.7598E-02  3.7343E-02
  1.4761E-03  7.1126E-01  3.6667E-02  3.5832E-02  3.5480E-02
  1.7369E-03  6.7239E-01  3.4812E-02  3.4136E-02  3.3731E-02
  2.0438E-03  6.3477E-01  3.3122E-02  3.2511E-02  3.2096E-02
  2.4049E-03  5.9844E-01  3.1568E-02  3.0910E-02  3.0556E-02
  2.8299E-03  5.6338E-01  3.0124E-02  2.9306E-02  2.9088E-02
  3.3299E-03  5.2955E-01  2.8771E-02  2.7730E-02  2.7687E-02
  3.9183E-03  4.9694E-01  2.7492E-02  2.6222E-02  2.6351E-02
  4.6106E-03  4.6556E-01  2.6287E-02  2.4783E-02  2.5080E-02
  5.4253E-03  4.3540E-01  2.5140E-02  2.3410E-02  2.3863E-02
  6.3839E-03  4.0639E-01  2.4016E-02  2.2146E-02  2.2696E-02
  7.5118E-03  3.7855E-01  2.2913E-02  2.0975E-02  2.1580E-02
  8.8391E-03  3.5181E-01  2.1902E-02  1.9852E-02  2.0511E-02
  1.0401E-02  3.2617E-01  2.0980E-02  1.8774E-02  1.9486E-02
  1.2239E-02  3.0160E-01  2.0091E-02  1.7735E-02  1.8497E-02
  1.4401E-02  2.7804E-01  1.9199E-02  1.6729E-02  1.7534E-02
  1.6946E-02  2.5549E-01  1.8272E-02  1.5753E-02  1.6592E-02
  1.9940E-02  2.3390E-01  1.7262E-02  1.4825E-02  1.5657E-02
  2.3463E-02  2.1326E-01  1.6122E-02  1.3962E-02  1.4717E-02
  2.7609E-02  1.9354E-01  1.4907E-02  1.3163E-02  1.3783E-02
  3.2487E-02  1.7471E-01  1.3701E-02  1.2415E-02  1.2866E-02
  3.8227E-02  1.5676E-01  1.2616E-02  1.1727E-02  1.1993E-02
  4.4982E-02  1.3966E-01  1.1789E-02  1.1095E-02  1.1200E-02
  5.2930E-02  1.2340E-01  1.1175E-02  1.0522E-02  1.0507E-02
  6.2282E-02  1.0796E-01  1.0652E-02  9.9574E-03  9.8993E-03
  7.3287E-02  9.3318E-02  1.0180E-02  9.6190E-03  9.3617E-03
  8.6236E-02  7.9475E-02  9.5901E-03  9.4494E-03  8.8366E-03
  1.0147E-01  6.6436E-02  8.8944E-03  9.1388E-03  8.2797E-03
  1.1940E-01  5.4229E-02  8.0911E-03  8.6041E-03  7.6409E-03
  1.4050E-01  4.2947E-02  7.1774E-03  7.8239E-03  6.8858E-03
  1.6533E-01  3.2709E-02  6.1496E-03  6.8009E-03  5.9917E-03
  1.9454E-01  2.3684E-02  5.0365E-03  5.5676E-03  4.9631E-03
  2.2891E-01  1.6071E-02  3.8871E-03  4.2128E-03  3.8481E-03
  2.6936E-01  1.0023E-02  2.7742E-03  2.8641E-03  2.7351E-03
  3.1695E-01  5.6068E-03  1.8398E-03  1.6963E-03  1.7566E-03
  3.7296E-01  2.7230E-03  1.2945E-03  8.4687E-04  1.0495E-03
  4.3885E-01  1.0973E-03  1.1404E-03  3.5548E-04  6.9335E-04
  5.1640E-01  3.4255E-04  1.1147E-03  1.3597E-04  5.8147E-04
  6.0764E-01  7.1243E-05  1.0212E-03  4.2829E-05  5.1377E-04
  7.1501E-01  5.6230E-06  8.0486E-04  5.5977E-06  4.0260E-04
  8.4134E-01 -3.6753E-07  4.4930E-04  3.3544E-07  2.2464E-04
  9.9000E-01  3.5496E-07  1.7237E-05  3.5043E-08  8.6084E-06
