 # x =   1.0000E-03
 #        q2       xubar      error+      error-       error
  5.0000E-01  1.7165E-01  2.4581E-02  2.3563E-02  2.3726E-02
  6.3536E-01  2.1167E-01  2.9103E-02  2.7830E-02  2.8067E-02
  8.0737E-01  2.5348E-01  3.2019E-02  3.0445E-02  3.0811E-02
  1.0259E+00  2.9088E-01  3.1296E-02  2.9378E-02  2.9937E-02
  1.3037E+00  3.2489E-01  2.8911E-02  2.6719E-02  2.7418E-02
  1.6566E+00  3.5955E-01  2.7136E-02  2.4713E-02  2.5488E-02
  2.1051E+00  3.9492E-01  2.5809E-02  2.3253E-02  2.4020E-02
  2.6750E+00  4.3157E-01  2.4918E-02  2.2253E-02  2.2979E-02
  3.3992E+00  4.6811E-01  2.4313E-02  2.1652E-02  2.2268E-02
  4.3194E+00  5.0460E-01  2.3983E-02  2.1354E-02  2.1840E-02
  5.4888E+00  5.4101E-01  2.3871E-02  2.1312E-02  2.1650E-02
  6.9748E+00  5.7730E-01  2.3917E-02  2.1492E-02  2.1654E-02
  8.8630E+00  6.1346E-01  2.4080E-02  2.1852E-02  2.1815E-02
  1.1262E+01  6.4945E-01  2.4380E-02  2.2328E-02  2.2109E-02
  1.4311E+01  6.8523E-01  2.4743E-02  2.2917E-02  2.2500E-02
  1.8186E+01  7.2080E-01  2.5160E-02  2.3580E-02  2.2966E-02
  2.3109E+01  7.5597E-01  2.5593E-02  2.4288E-02  2.3480E-02
  2.9365E+01  7.9144E-01  2.6090E-02  2.5049E-02  2.4060E-02
  3.7315E+01  8.2648E-01  2.6648E-02  2.5776E-02  2.4658E-02
  4.7417E+01  8.6123E-01  2.7205E-02  2.6529E-02  2.5280E-02
  6.0254E+01  8.9568E-01  2.7751E-02  2.7304E-02  2.5914E-02
  7.6566E+01  9.2981E-01  2.8248E-02  2.8119E-02  2.6551E-02
  9.7294E+01  9.6363E-01  2.8724E-02  2.8945E-02  2.7189E-02
  1.2363E+02  9.9712E-01  2.9249E-02  2.9733E-02  2.7835E-02
  1.5710E+02  1.0303E+00  2.9796E-02  3.0484E-02  2.8475E-02
  1.9964E+02  1.0631E+00  3.0358E-02  3.1167E-02  2.9089E-02
  2.5368E+02  1.0956E+00  3.0888E-02  3.1863E-02  2.9695E-02
  3.2236E+02  1.1278E+00  3.1340E-02  3.2652E-02  3.0309E-02
  4.0963E+02  1.1597E+00  3.1779E-02  3.3422E-02  3.0913E-02
  5.2053E+02  1.1912E+00  3.2218E-02  3.4125E-02  3.1494E-02
  6.6145E+02  1.2224E+00  3.2699E-02  3.4764E-02  3.2062E-02
  8.4051E+02  1.2532E+00  3.3294E-02  3.5296E-02  3.2619E-02
  1.0681E+03  1.2837E+00  3.3810E-02  3.5869E-02  3.3161E-02
  1.3572E+03  1.3140E+00  3.4142E-02  3.6562E-02  3.3680E-02
  1.7246E+03  1.3439E+00  3.4438E-02  3.7264E-02  3.4188E-02
  2.1915E+03  1.3735E+00  3.4807E-02  3.7896E-02  3.4693E-02
  2.7848E+03  1.4028E+00  3.5201E-02  3.8487E-02  3.5188E-02
  3.5388E+03  1.4317E+00  3.5609E-02  3.9023E-02  3.5664E-02
  4.4968E+03  1.4603E+00  3.6042E-02  3.9489E-02  3.6117E-02
  5.7141E+03  1.4886E+00  3.6444E-02  3.9971E-02  3.6560E-02
  7.2611E+03  1.5167E+00  3.6776E-02  4.0520E-02  3.6997E-02
