 # q =   1.0000E+01
 #         x       xubar      error+      error-       error
  1.0000E-07  1.4234E+00  8.5244E+00  1.0722E+01  8.5194E+00
  1.1767E-07  1.4660E+00  8.2071E+00  1.0319E+01  8.2228E+00
  1.3846E-07  1.5099E+00  7.8917E+00  9.9170E+00  7.9263E+00
  1.6293E-07  1.5551E+00  7.5780E+00  9.5170E+00  7.6298E+00
  1.9171E-07  1.6016E+00  7.2657E+00  9.1182E+00  7.3329E+00
  2.2559E-07  1.6495E+00  6.9545E+00  8.7204E+00  7.0352E+00
  2.6545E-07  1.6989E+00  6.6442E+00  8.3231E+00  6.7363E+00
  3.1235E-07  1.7497E+00  6.3344E+00  7.9259E+00  6.4359E+00
  3.6754E-07  1.8020E+00  6.0250E+00  7.5283E+00  6.1333E+00
  4.3248E-07  1.8559E+00  5.7156E+00  7.1295E+00  5.8279E+00
  5.0890E-07  1.9115E+00  5.4060E+00  6.7286E+00  5.5191E+00
  5.9882E-07  1.9686E+00  5.0959E+00  6.3246E+00  5.2062E+00
  7.0462E-07  2.0275E+00  4.7850E+00  5.9163E+00  4.8882E+00
  8.2912E-07  2.0882E+00  4.4731E+00  5.5021E+00  4.5641E+00
  9.7562E-07  2.1506E+00  4.1599E+00  5.0801E+00  4.2328E+00
  1.1480E-06  2.2308E+00  3.8155E+00  4.5836E+00  3.8428E+00
  1.3509E-06  2.3057E+00  3.4828E+00  4.1033E+00  3.4646E+00
  1.5895E-06  2.3716E+00  3.1685E+00  3.6541E+00  3.1096E+00
  1.8704E-06  2.4284E+00  2.8727E+00  3.2360E+00  2.7778E+00
  2.2009E-06  2.4768E+00  2.5943E+00  2.8471E+00  2.4678E+00
  2.5898E-06  2.5181E+00  2.3312E+00  2.4831E+00  2.1765E+00
  3.0474E-06  2.5499E+00  2.0872E+00  2.1518E+00  1.9095E+00
  3.5858E-06  2.5694E+00  1.8671E+00  1.8619E+00  1.6733E+00
  4.2194E-06  2.5737E+00  1.6755E+00  1.6226E+00  1.4747E+00
  4.9649E-06  2.5614E+00  1.5147E+00  1.4379E+00  1.3164E+00
  5.8422E-06  2.5416E+00  1.3697E+00  1.2782E+00  1.1774E+00
  6.8744E-06  2.5207E+00  1.2297E+00  1.1224E+00  1.0424E+00
  8.0891E-06  2.4961E+00  1.0993E+00  9.7936E-01  9.1788E-01
  9.5184E-06  2.4679E+00  9.7846E-01  8.4876E-01  8.0348E-01
  1.1200E-05  2.4348E+00  8.6905E-01  7.3389E-01  7.0174E-01
  1.3179E-05  2.3962E+00  7.7198E-01  6.3600E-01  6.1366E-01
  1.5508E-05  2.3535E+00  6.8506E-01  5.5154E-01  5.3653E-01
  1.8248E-05  2.3080E+00  6.0600E-01  4.7691E-01  4.6756E-01
  2.1472E-05  2.2608E+00  5.3304E-01  4.0947E-01  4.0466E-01
  2.5266E-05  2.2109E+00  4.6803E-01  3.5182E-01  3.4998E-01
  2.9731E-05  2.1584E+00  4.1049E-01  3.0296E-01  3.0285E-01
  3.4984E-05  2.1041E+00  3.5932E-01  2.6100E-01  2.6179E-01
  4.1165E-05  2.0487E+00  3.1334E-01  2.2432E-01  2.2548E-01
  4.8439E-05  1.9918E+00  2.7321E-01  1.9366E-01  1.9463E-01
  5.6998E-05  1.9339E+00  2.3795E-01  1.6774E-01  1.6825E-01
  6.7069E-05  1.8761E+00  2.0593E-01  1.4470E-01  1.4473E-01
  7.8919E-05  1.8178E+00  1.7773E-01  1.2505E-01  1.2460E-01
  9.2864E-05  1.7589E+00  1.5397E-01  1.0903E-01  1.0813E-01
  1.0927E-04  1.7000E+00  1.3315E-01  9.5352E-02  9.4078E-02
  1.2858E-04  1.6414E+00  1.1500E-01  8.3711E-02  8.2172E-02
  1.5130E-04  1.5832E+00  9.9303E-02  7.3875E-02  7.2180E-02
  1.7803E-04  1.5256E+00  8.5601E-02  6.5542E-02  6.3805E-02
  2.0949E-04  1.4687E+00  7.3523E-02  5.9132E-02  5.6828E-02
  2.4650E-04  1.4124E+00  6.3508E-02  5.3775E-02  5.1178E-02
  2.9006E-04  1.3567E+00  5.5414E-02  4.9176E-02  4.6546E-02
  3.4131E-04  1.3019E+00  4.9777E-02  4.5185E-02  4.2659E-02
  4.0162E-04  1.2482E+00  4.5177E-02  4.1719E-02  3.9378E-02
  4.7258E-04  1.1955E+00  4.1352E-02  3.8701E-02  3.6586E-02
  5.5608E-04  1.1438E+00  3.8060E-02  3.6051E-02  3.4131E-02
  6.5434E-04  1.0933E+00  3.5134E-02  3.3758E-02  3.1972E-02
  7.6995E-04  1.0441E+00  3.2440E-02  3.1802E-02  3.0013E-02
  9.0600E-04  9.9602E-01  3.0080E-02  3.0032E-02  2.8251E-02
