 # x =   1.0000E-03
 #        q2         xup      error+      error-       error
  5.0000E-01  1.9623E-01  2.4041E-02  2.3351E-02  2.3419E-02
  6.3536E-01  2.4160E-01  2.8436E-02  2.7562E-02  2.7678E-02
  8.0737E-01  2.8843E-01  3.1241E-02  3.0115E-02  3.0337E-02
  1.0259E+00  3.2924E-01  3.0517E-02  2.8998E-02  2.9421E-02
  1.3037E+00  3.6549E-01  2.8269E-02  2.6260E-02  2.6896E-02
  1.6566E+00  4.0214E-01  2.6622E-02  2.4166E-02  2.4950E-02
  2.1051E+00  4.3938E-01  2.5381E-02  2.2626E-02  2.3458E-02
  2.6750E+00  4.7767E-01  2.4556E-02  2.1558E-02  2.2389E-02
  3.3992E+00  5.1576E-01  2.3995E-02  2.0909E-02  2.1651E-02
  4.3194E+00  5.5370E-01  2.3687E-02  2.0584E-02  2.1197E-02
  5.4888E+00  5.9149E-01  2.3573E-02  2.0540E-02  2.0985E-02
  6.9748E+00  6.2909E-01  2.3605E-02  2.0733E-02  2.0969E-02
  8.8630E+00  6.6650E-01  2.3752E-02  2.1111E-02  2.1115E-02
  1.1262E+01  7.0369E-01  2.4031E-02  2.1611E-02  2.1397E-02
  1.4311E+01  7.4063E-01  2.4371E-02  2.2227E-02  2.1780E-02
  1.8186E+01  7.7731E-01  2.4765E-02  2.2922E-02  2.2241E-02
  2.3109E+01  8.1358E-01  2.5174E-02  2.3668E-02  2.2752E-02
  2.9365E+01  8.5005E-01  2.5623E-02  2.4488E-02  2.3333E-02
  3.7315E+01  8.8609E-01  2.6113E-02  2.5290E-02  2.3933E-02
  4.7417E+01  9.2180E-01  2.6603E-02  2.6110E-02  2.4558E-02
  6.0254E+01  9.5719E-01  2.7116E-02  2.6932E-02  2.5197E-02
  7.6566E+01  9.9224E-01  2.7594E-02  2.7768E-02  2.5834E-02
  9.7294E+01  1.0269E+00  2.8054E-02  2.8604E-02  2.6473E-02
  1.2363E+02  1.0613E+00  2.8578E-02  2.9411E-02  2.7131E-02
  1.5710E+02  1.0953E+00  2.9125E-02  3.0183E-02  2.7785E-02
  1.9964E+02  1.1290E+00  2.9674E-02  3.0885E-02  2.8406E-02
  2.5368E+02  1.1623E+00  3.0193E-02  3.1600E-02  2.9019E-02
  3.2236E+02  1.1953E+00  3.0640E-02  3.2405E-02  2.9641E-02
  4.0963E+02  1.2279E+00  3.1072E-02  3.3189E-02  3.0251E-02
  5.2053E+02  1.2602E+00  3.1498E-02  3.3906E-02  3.0838E-02
  6.6145E+02  1.2922E+00  3.1970E-02  3.4560E-02  3.1413E-02
  8.4051E+02  1.3237E+00  3.2563E-02  3.5111E-02  3.1982E-02
  1.0681E+03  1.3550E+00  3.3074E-02  3.5703E-02  3.2533E-02
  1.3572E+03  1.3859E+00  3.3393E-02  3.6415E-02  3.3060E-02
  1.7246E+03  1.4166E+00  3.3676E-02  3.7135E-02  3.3574E-02
  2.1915E+03  1.4468E+00  3.4036E-02  3.7783E-02  3.4086E-02
  2.7848E+03  1.4768E+00  3.4424E-02  3.8390E-02  3.4590E-02
  3.5388E+03  1.5064E+00  3.4829E-02  3.8944E-02  3.5075E-02
  4.4968E+03  1.5357E+00  3.5264E-02  3.9432E-02  3.5539E-02
  5.7141E+03  1.5646E+00  3.5665E-02  3.9936E-02  3.5993E-02
  7.2611E+03  1.5933E+00  3.5992E-02  4.0512E-02  3.6440E-02
  9.2268E+03  1.6216E+00  3.6285E-02  4.1102E-02  3.6877E-02
  1.1725E+04  1.6497E+00  3.6580E-02  4.1651E-02  3.7306E-02
  1.4899E+04  1.6774E+00  3.6868E-02  4.2174E-02  3.7726E-02
  1.8932E+04  1.7049E+00  3.7166E-02  4.2655E-02  3.8124E-02
  2.4058E+04  1.7320E+00  3.7480E-02  4.3080E-02  3.8490E-02
  3.0571E+04  1.7588E+00  3.7800E-02  4.3479E-02  3.8845E-02
  3.8847E+04  1.7853E+00  3.8129E-02  4.3872E-02  3.9205E-02
  4.9364E+04  1.8116E+00  3.8459E-02  4.4259E-02  3.9562E-02
  6.2728E+04  1.8376E+00  3.8726E-02  4.4695E-02  3.9915E-02
  7.9710E+04  1.8633E+00  3.8921E-02  4.5191E-02  4.0265E-02
  1.0129E+05  1.8888E+00  3.9151E-02  4.5629E-02  4.0602E-02
  1.2871E+05  1.9139E+00  3.9506E-02  4.5921E-02  4.0924E-02
  1.6355E+05  1.9387E+00  3.9868E-02  4.6174E-02  4.1231E-02
  2.0783E+05  1.9634E+00  4.0062E-02  4.6532E-02  4.1510E-02
  2.6410E+05  1.9877E+00  4.0116E-02  4.6971E-02  4.1763E-02
  3.3559E+05  2.0119E+00  4.0245E-02  4.7369E-02  4.2029E-02
  4.2645E+05  2.0357E+00  4.0524E-02  4.7693E-02  4.2329E-02
  5.4190E+05  2.0593E+00  4.0824E-02  4.7993E-02  4.2624E-02
  6.8860E+05  2.0826E+00  4.1059E-02  4.8285E-02  4.2882E-02
  8.7502E+05  2.1057E+00  4.1262E-02  4.8570E-02  4.3120E-02
  1.1119E+06  2.1286E+00  4.1425E-02  4.8895E-02  4.3361E-02
  1.4129E+06  2.1513E+00  4.1532E-02  4.9274E-02  4.3605E-02
  1.7954E+06  2.1737E+00  4.1674E-02  4.9598E-02  4.3839E-02
  2.2815E+06  2.1958E+00  4.1929E-02  4.9771E-02  4.4053E-02
  2.8992E+06  2.2177E+00  4.2211E-02  4.9898E-02  4.4257E-02
  3.6840E+06  2.2394E+00  4.2396E-02  5.0127E-02  4.4462E-02
  4.6814E+06  2.2610E+00  4.2509E-02  5.0432E-02  4.4667E-02
  5.9487E+06  2.2823E+00  4.2587E-02  5.0751E-02  4.4864E-02
  7.5592E+06  2.3033E+00  4.2597E-02  5.1102E-02  4.5046E-02
  9.6056E+06  2.3242E+00  4.2648E-02  5.1410E-02  4.5228E-02
  1.2206E+07  2.3448E+00  4.2881E-02  5.1566E-02  4.5421E-02
  1.5511E+07  2.3652E+00  4.3208E-02  5.1638E-02  4.5618E-02
  1.9710E+07  2.3854E+00  4.3424E-02  5.1791E-02  4.5800E-02
  2.5046E+07  2.4055E+00  4.3513E-02  5.2037E-02  4.5965E-02
  3.1826E+07  2.4254E+00  4.3580E-02  5.2291E-02  4.6122E-02
  4.0442E+07  2.4450E+00  4.3660E-02  5.2520E-02  4.6272E-02
  5.1390E+07  2.4645E+00  4.3748E-02  5.2730E-02  4.6416E-02
  6.5303E+07  2.4837E+00  4.3881E-02  5.2885E-02  4.6555E-02
  8.2982E+07  2.5028E+00  4.4050E-02  5.2990E-02  4.6689E-02
  1.0545E+08  2.5217E+00  4.4194E-02  5.3115E-02  4.6820E-02
  1.3399E+08  2.5404E+00  4.4297E-02  5.3276E-02  4.6949E-02
  1.7027E+08  2.5589E+00  4.4384E-02  5.3449E-02  4.7076E-02
  2.1637E+08  2.5773E+00  4.4471E-02  5.3621E-02  4.7203E-02
  2.7494E+08  2.5955E+00  4.4548E-02  5.3799E-02  4.7329E-02
  3.4937E+08  2.6135E+00  4.4595E-02  5.3991E-02  4.7447E-02
  4.4396E+08  2.6314E+00  4.4596E-02  5.4206E-02  4.7555E-02
  5.6414E+08  2.6490E+00  4.4621E-02  5.4398E-02  4.7662E-02
  7.1687E+08  2.6666E+00  4.4701E-02  5.4542E-02  4.7769E-02
  9.1094E+08  2.6839E+00  4.4819E-02  5.4651E-02  4.7877E-02
  1.1576E+09  2.7013E+00  4.4940E-02  5.4757E-02  4.7985E-02
  1.4709E+09  2.7190E+00  4.5047E-02  5.4877E-02  4.8092E-02
  1.8692E+09  2.7368E+00  4.5153E-02  5.4996E-02  4.8200E-02
  2.3752E+09  2.7547E+00  4.5261E-02  5.5116E-02  4.8307E-02
  3.0182E+09  2.7727E+00  4.5368E-02  5.5235E-02  4.8415E-02
  3.8353E+09  2.7908E+00  4.5476E-02  5.5355E-02  4.8522E-02
  4.8736E+09  2.8090E+00  4.5585E-02  5.5474E-02  4.8630E-02
  6.1930E+09  2.8274E+00  4.5694E-02  5.5593E-02  4.8737E-02
  7.8695E+09  2.8459E+00  4.5803E-02  5.5712E-02  4.8845E-02
  1.0000E+10  2.8645E+00  4.5913E-02  5.5831E-02  4.8952E-02
