 # q =   1.0000E+01
 #         x         xup      error+      error-       error
  1.0000E-07  1.4266E+00  8.5243E+00  1.0722E+01  8.5197E+00
  1.1767E-07  1.4694E+00  8.2071E+00  1.0319E+01  8.2231E+00
  1.3846E-07  1.5134E+00  7.8917E+00  9.9176E+00  7.9267E+00
  1.6293E-07  1.5588E+00  7.5780E+00  9.5176E+00  7.6301E+00
  1.9171E-07  1.6055E+00  7.2657E+00  9.1188E+00  7.3332E+00
  2.2559E-07  1.6536E+00  6.9545E+00  8.7210E+00  7.0355E+00
  2.6545E-07  1.7031E+00  6.6441E+00  8.3237E+00  6.7367E+00
  3.1235E-07  1.7542E+00  6.3344E+00  7.9265E+00  6.4362E+00
  3.6754E-07  1.8067E+00  6.0249E+00  7.5289E+00  6.1336E+00
  4.3248E-07  1.8609E+00  5.7155E+00  7.1301E+00  5.8283E+00
  5.0890E-07  1.9166E+00  5.4059E+00  6.7293E+00  5.5195E+00
  5.9882E-07  1.9741E+00  5.0958E+00  6.3253E+00  5.2066E+00
  7.0462E-07  2.0332E+00  4.7849E+00  5.9170E+00  4.8886E+00
  8.2912E-07  2.0942E+00  4.4730E+00  5.5027E+00  4.5645E+00
  9.7562E-07  2.1569E+00  4.1598E+00  5.0808E+00  4.2332E+00
  1.1480E-06  2.2375E+00  3.8154E+00  4.5843E+00  3.8432E+00
  1.3509E-06  2.3127E+00  3.4827E+00  4.1040E+00  3.4650E+00
  1.5895E-06  2.3789E+00  3.1684E+00  3.6548E+00  3.1100E+00
  1.8704E-06  2.4361E+00  2.8725E+00  3.2368E+00  2.7782E+00
  2.2009E-06  2.4848E+00  2.5942E+00  2.8480E+00  2.4682E+00
  2.5898E-06  2.5266E+00  2.3310E+00  2.4839E+00  2.1769E+00
  3.0474E-06  2.5588E+00  2.0871E+00  2.1527E+00  1.9099E+00
  3.5858E-06  2.5788E+00  1.8669E+00  1.8628E+00  1.6737E+00
  4.2194E-06  2.5836E+00  1.6753E+00  1.6236E+00  1.4751E+00
  4.9649E-06  2.5718E+00  1.5145E+00  1.4389E+00  1.3169E+00
  5.8422E-06  2.5524E+00  1.3694E+00  1.2792E+00  1.1779E+00
  6.8744E-06  2.5322E+00  1.2294E+00  1.1234E+00  1.0429E+00
  8.0891E-06  2.5082E+00  1.0991E+00  9.8045E-01  9.1833E-01
  9.5184E-06  2.4805E+00  9.7819E-01  8.4989E-01  8.0393E-01
